D1C,D1N,D2C,D2N,D3C,D3N,D4C,D4N,MC,MN,V
2688,Abacaxi,1,Norte,2007,2007,109,Área plantada,1006,Hectares,25013
2688,Abacaxi,1,Norte,2007,2007,216,Área colhida,1006,Hectares,24870
2688,Abacaxi,1,Norte,2007,2007,214,Quantidade produzida,1017,Toneladas,488181
2688,Abacaxi,1,Norte,2007,2007,112,Rendimento médio da produção,33,Quilogramas por Hectare,19629
2688,Abacaxi,1,Norte,2007,2007,215,Valor da produção,40,Mil Reais,207435
2688,Abacaxi,2,Nordeste,2007,2007,109,Área plantada,1006,Hectares,26613
2688,Abacaxi,2,Nordeste,2007,2007,216,Área colhida,1006,Hectares,26613
2688,Abacaxi,2,Nordeste,2007,2007,214,Quantidade produzida,1017,Toneladas,759438
2688,Abacaxi,2,Nordeste,2007,2007,112,Rendimento médio da produção,33,Quilogramas por Hectare,28536
2688,Abacaxi,2,Nordeste,2007,2007,215,Valor da produção,40,Mil Reais,404851
2688,Abacaxi,3,Sudeste,2007,2007,109,Área plantada,1006,Hectares,15251
2688,Abacaxi,3,Sudeste,2007,2007,216,Área colhida,1006,Hectares,15251
2688,Abacaxi,3,Sudeste,2007,2007,214,Quantidade produzida,1017,Toneladas,419222
2688,Abacaxi,3,Sudeste,2007,2007,112,Rendimento médio da produção,33,Quilogramas por Hectare,27488
2688,Abacaxi,3,Sudeste,2007,2007,215,Valor da produção,40,Mil Reais,242259
2688,Abacaxi,4,Sul,2007,2007,109,Área plantada,1006,Hectares,864
2688,Abacaxi,4,Sul,2007,2007,216,Área colhida,1006,Hectares,861
2688,Abacaxi,4,Sul,2007,2007,214,Quantidade produzida,1017,Toneladas,15745
2688,Abacaxi,4,Sul,2007,2007,112,Rendimento médio da produção,33,Quilogramas por Hectare,18286
2688,Abacaxi,4,Sul,2007,2007,215,Valor da produção,40,Mil Reais,11240
2688,Abacaxi,5,Centro-Oeste,2007,2007,109,Área plantada,1006,Hectares,4229
2688,Abacaxi,5,Centro-Oeste,2007,2007,216,Área colhida,1006,Hectares,4228
2688,Abacaxi,5,Centro-Oeste,2007,2007,214,Quantidade produzida,1017,Toneladas,101629
2688,Abacaxi,5,Centro-Oeste,2007,2007,112,Rendimento médio da produção,33,Quilogramas por Hectare,24037
2688,Abacaxi,5,Centro-Oeste,2007,2007,215,Valor da produção,40,Mil Reais,85510
2689,Algodão herbáceo (em caroço),1,Norte,2007,2007,109,Área plantada,1006,Hectares,715
2689,Algodão herbáceo (em caroço),1,Norte,2007,2007,216,Área colhida,1006,Hectares,715
2689,Algodão herbáceo (em caroço),1,Norte,2007,2007,214,Quantidade produzida,1017,Toneladas,2130
2689,Algodão herbáceo (em caroço),1,Norte,2007,2007,112,Rendimento médio da produção,33,Quilogramas por Hectare,2979
2689,Algodão herbáceo (em caroço),1,Norte,2007,2007,215,Valor da produção,40,Mil Reais,2025
2689,Algodão herbáceo (em caroço),2,Nordeste,2007,2007,109,Área plantada,1006,Hectares,354777
2689,Algodão herbáceo (em caroço),2,Nordeste,2007,2007,216,Área colhida,1006,Hectares,348949
2689,Algodão herbáceo (em caroço),2,Nordeste,2007,2007,214,Quantidade produzida,1017,Toneladas,1186477
2689,Algodão herbáceo (em caroço),2,Nordeste,2007,2007,112,Rendimento médio da produção,33,Quilogramas por Hectare,3400
2689,Algodão herbáceo (em caroço),2,Nordeste,2007,2007,215,Valor da produção,40,Mil Reais,1134903
2689,Algodão herbáceo (em caroço),3,Sudeste,2007,2007,109,Área plantada,1006,Hectares,72011
2689,Algodão herbáceo (em caroço),3,Sudeste,2007,2007,216,Área colhida,1006,Hectares,71900
2689,Algodão herbáceo (em caroço),3,Sudeste,2007,2007,214,Quantidade produzida,1017,Toneladas,207891
2689,Algodão herbáceo (em caroço),3,Sudeste,2007,2007,112,Rendimento médio da produção,33,Quilogramas por Hectare,2891
2689,Algodão herbáceo (em caroço),3,Sudeste,2007,2007,215,Valor da produção,40,Mil Reais,206582
2689,Algodão herbáceo (em caroço),4,Sul,2007,2007,109,Área plantada,1006,Hectares,12253
2689,Algodão herbáceo (em caroço),4,Sul,2007,2007,216,Área colhida,1006,Hectares,12253
2689,Algodão herbáceo (em caroço),4,Sul,2007,2007,214,Quantidade produzida,1017,Toneladas,25903
2689,Algodão herbáceo (em caroço),4,Sul,2007,2007,112,Rendimento médio da produção,33,Quilogramas por Hectare,2114
2689,Algodão herbáceo (em caroço),4,Sul,2007,2007,215,Valor da produção,40,Mil Reais,23427
2689,Algodão herbáceo (em caroço),5,Centro-Oeste,2007,2007,109,Área plantada,1006,Hectares,691439
2689,Algodão herbáceo (em caroço),5,Centro-Oeste,2007,2007,216,Área colhida,1006,Hectares,691439
2689,Algodão herbáceo (em caroço),5,Centro-Oeste,2007,2007,214,Quantidade produzida,1017,Toneladas,2688421
2689,Algodão herbáceo (em caroço),5,Centro-Oeste,2007,2007,112,Rendimento médio da produção,33,Quilogramas por Hectare,3888
2689,Algodão herbáceo (em caroço),5,Centro-Oeste,2007,2007,215,Valor da produção,40,Mil Reais,2622024
2690,Alho,1,Norte,2007,2007,109,Área plantada,1006,Hectares,-
2690,Alho,1,Norte,2007,2007,216,Área colhida,1006,Hectares,-
2690,Alho,1,Norte,2007,2007,214,Quantidade produzida,1017,Toneladas,-
2690,Alho,1,Norte,2007,2007,112,Rendimento médio da produção,33,Quilogramas por Hectare,-
2690,Alho,1,Norte,2007,2007,215,Valor da produção,40,Mil Reais,-
2690,Alho,2,Nordeste,2007,2007,109,Área plantada,1006,Hectares,792
2690,Alho,2,Nordeste,2007,2007,216,Área colhida,1006,Hectares,792
2690,Alho,2,Nordeste,2007,2007,214,Quantidade produzida,1017,Toneladas,5483
2690,Alho,2,Nordeste,2007,2007,112,Rendimento médio da produção,33,Quilogramas por Hectare,6922
2690,Alho,2,Nordeste,2007,2007,215,Valor da produção,40,Mil Reais,15677
2690,Alho,3,Sudeste,2007,2007,109,Área plantada,1006,Hectares,2503
2690,Alho,3,Sudeste,2007,2007,216,Área colhida,1006,Hectares,2503
2690,Alho,3,Sudeste,2007,2007,214,Quantidade produzida,1017,Toneladas,26310
2690,Alho,3,Sudeste,2007,2007,112,Rendimento médio da produção,33,Quilogramas por Hectare,10511
2690,Alho,3,Sudeste,2007,2007,215,Valor da produção,40,Mil Reais,73232
2690,Alho,4,Sul,2007,2007,109,Área plantada,1006,Hectares,5899
2690,Alho,4,Sul,2007,2007,216,Área colhida,1006,Hectares,5899
2690,Alho,4,Sul,2007,2007,214,Quantidade produzida,1017,Toneladas,42513
2690,Alho,4,Sul,2007,2007,112,Rendimento médio da produção,33,Quilogramas por Hectare,7206
2690,Alho,4,Sul,2007,2007,215,Valor da produção,40,Mil Reais,114890
2690,Alho,5,Centro-Oeste,2007,2007,109,Área plantada,1006,Hectares,2064
2690,Alho,5,Centro-Oeste,2007,2007,216,Área colhida,1006,Hectares,2064
2690,Alho,5,Centro-Oeste,2007,2007,214,Quantidade produzida,1017,Toneladas,24696
2690,Alho,5,Centro-Oeste,2007,2007,112,Rendimento médio da produção,33,Quilogramas por Hectare,11965
2690,Alho,5,Centro-Oeste,2007,2007,215,Valor da produção,40,Mil Reais,26429
2691,Amendoim (em casca),1,Norte,2007,2007,109,Área plantada,1006,Hectares,335
2691,Amendoim (em casca),1,Norte,2007,2007,216,Área colhida,1006,Hectares,335
2691,Amendoim (em casca),1,Norte,2007,2007,214,Quantidade produzida,1017,Toneladas,401
2691,Amendoim (em casca),1,Norte,2007,2007,112,Rendimento médio da produção,33,Quilogramas por Hectare,1197
2691,Amendoim (em casca),1,Norte,2007,2007,215,Valor da produção,40,Mil Reais,527
2691,Amendoim (em casca),2,Nordeste,2007,2007,109,Área plantada,1006,Hectares,9998
2691,Amendoim (em casca),2,Nordeste,2007,2007,216,Área colhida,1006,Hectares,9997
2691,Amendoim (em casca),2,Nordeste,2007,2007,214,Quantidade produzida,1017,Toneladas,10835
2691,Amendoim (em casca),2,Nordeste,2007,2007,112,Rendimento médio da produção,33,Quilogramas por Hectare,1083
2691,Amendoim (em casca),2,Nordeste,2007,2007,215,Valor da produção,40,Mil Reais,9365
2691,Amendoim (em casca),3,Sudeste,2007,2007,109,Área plantada,1006,Hectares,86457
2691,Amendoim (em casca),3,Sudeste,2007,2007,216,Área colhida,1006,Hectares,86457
2691,Amendoim (em casca),3,Sudeste,2007,2007,214,Quantidade produzida,1017,Toneladas,217832
2691,Amendoim (em casca),3,Sudeste,2007,2007,112,Rendimento médio da produção,33,Quilogramas por Hectare,2519
2691,Amendoim (em casca),3,Sudeste,2007,2007,215,Valor da produção,40,Mil Reais,199542
2691,Amendoim (em casca),4,Sul,2007,2007,109,Área plantada,1006,Hectares,10460
2691,Amendoim (em casca),4,Sul,2007,2007,216,Área colhida,1006,Hectares,10460
2691,Amendoim (em casca),4,Sul,2007,2007,214,Quantidade produzida,1017,Toneladas,20356
2691,Amendoim (em casca),4,Sul,2007,2007,112,Rendimento médio da produção,33,Quilogramas por Hectare,1946
2691,Amendoim (em casca),4,Sul,2007,2007,215,Valor da produção,40,Mil Reais,30118
2691,Amendoim (em casca),5,Centro-Oeste,2007,2007,109,Área plantada,1006,Hectares,6963
2691,Amendoim (em casca),5,Centro-Oeste,2007,2007,216,Área colhida,1006,Hectares,6527
2691,Amendoim (em casca),5,Centro-Oeste,2007,2007,214,Quantidade produzida,1017,Toneladas,14016
2691,Amendoim (em casca),5,Centro-Oeste,2007,2007,112,Rendimento médio da produção,33,Quilogramas por Hectare,2147
2691,Amendoim (em casca),5,Centro-Oeste,2007,2007,215,Valor da produção,40,Mil Reais,17294
2692,Arroz (em casca),1,Norte,2007,2007,109,Área plantada,1006,Hectares,465565
2692,Arroz (em casca),1,Norte,2007,2007,216,Área colhida,1006,Hectares,461087
2692,Arroz (em casca),1,Norte,2007,2007,214,Quantidade produzida,1017,Toneladas,1029779
2692,Arroz (em casca),1,Norte,2007,2007,112,Rendimento médio da produção,33,Quilogramas por Hectare,2233
2692,Arroz (em casca),1,Norte,2007,2007,215,Valor da produção,40,Mil Reais,484906
2692,Arroz (em casca),2,Nordeste,2007,2007,109,Área plantada,1006,Hectares,743529
2692,Arroz (em casca),2,Nordeste,2007,2007,216,Área colhida,1006,Hectares,734131
2692,Arroz (em casca),2,Nordeste,2007,2007,214,Quantidade produzida,1017,Toneladas,1026411
2692,Arroz (em casca),2,Nordeste,2007,2007,112,Rendimento médio da produção,33,Quilogramas por Hectare,1398
2692,Arroz (em casca),2,Nordeste,2007,2007,215,Valor da produção,40,Mil Reais,479708
2692,Arroz (em casca),3,Sudeste,2007,2007,109,Área plantada,1006,Hectares,117653
2692,Arroz (em casca),3,Sudeste,2007,2007,216,Área colhida,1006,Hectares,115697
2692,Arroz (em casca),3,Sudeste,2007,2007,214,Quantidade produzida,1017,Toneladas,286856
2692,Arroz (em casca),3,Sudeste,2007,2007,112,Rendimento médio da produção,33,Quilogramas por Hectare,2479
2692,Arroz (em casca),3,Sudeste,2007,2007,215,Valor da produção,40,Mil Reais,150777
2692,Arroz (em casca),4,Sul,2007,2007,109,Área plantada,1006,Hectares,1151160
2692,Arroz (em casca),4,Sul,2007,2007,216,Área colhida,1006,Hectares,1145022
2692,Arroz (em casca),4,Sul,2007,2007,214,Quantidade produzida,1017,Toneladas,7552832
2692,Arroz (em casca),4,Sul,2007,2007,112,Rendimento médio da produção,33,Quilogramas por Hectare,6596
