D1C,D1N,D2C,D2N,D3C,D3N,D4C,D4N,MC,MN,V
2688,Abacaxi,1,Norte,1995,1995,109,Área plantada,1006,Hectares,7274
2688,Abacaxi,1,Norte,1995,1995,216,Área colhida,1006,Hectares,6014
2688,Abacaxi,1,Norte,1995,1995,214,Quantidade produzida,1017,Toneladas,111268
2688,Abacaxi,1,Norte,1995,1995,112,Rendimento médio da produção,33,Quilogramas por Hectare,18501
2688,Abacaxi,1,Norte,1995,1995,215,Valor da produção,40,Mil Reais,37801
2688,Abacaxi,2,Nordeste,1995,1995,109,Área plantada,1006,Hectares,18232
2688,Abacaxi,2,Nordeste,1995,1995,216,Área colhida,1006,Hectares,16231
2688,Abacaxi,2,Nordeste,1995,1995,214,Quantidade produzida,1017,Toneladas,396634
2688,Abacaxi,2,Nordeste,1995,1995,112,Rendimento médio da produção,33,Quilogramas por Hectare,24436
2688,Abacaxi,2,Nordeste,1995,1995,215,Valor da produção,40,Mil Reais,153842
2688,Abacaxi,3,Sudeste,1995,1995,109,Área plantada,1006,Hectares,19725
2688,Abacaxi,3,Sudeste,1995,1995,216,Área colhida,1006,Hectares,19723
2688,Abacaxi,3,Sudeste,1995,1995,214,Quantidade produzida,1017,Toneladas,402534
2688,Abacaxi,3,Sudeste,1995,1995,112,Rendimento médio da produção,33,Quilogramas por Hectare,20409
2688,Abacaxi,3,Sudeste,1995,1995,215,Valor da produção,40,Mil Reais,162582
2688,Abacaxi,4,Sul,1995,1995,109,Área plantada,1006,Hectares,512
2688,Abacaxi,4,Sul,1995,1995,216,Área colhida,1006,Hectares,509
2688,Abacaxi,4,Sul,1995,1995,214,Quantidade produzida,1017,Toneladas,6351
2688,Abacaxi,4,Sul,1995,1995,112,Rendimento médio da produção,33,Quilogramas por Hectare,12477
2688,Abacaxi,4,Sul,1995,1995,215,Valor da produção,40,Mil Reais,4092
2688,Abacaxi,5,Centro-Oeste,1995,1995,109,Área plantada,1006,Hectares,2224
2688,Abacaxi,5,Centro-Oeste,1995,1995,216,Área colhida,1006,Hectares,1907
2688,Abacaxi,5,Centro-Oeste,1995,1995,214,Quantidade produzida,1017,Toneladas,34120
2688,Abacaxi,5,Centro-Oeste,1995,1995,112,Rendimento médio da produção,33,Quilogramas por Hectare,17891
2688,Abacaxi,5,Centro-Oeste,1995,1995,215,Valor da produção,40,Mil Reais,18826
2689,Algodão herbáceo (em caroço),1,Norte,1995,1995,109,Área plantada,1006,Hectares,20815
2689,Algodão herbáceo (em caroço),1,Norte,1995,1995,216,Área colhida,1006,Hectares,20815
2689,Algodão herbáceo (em caroço),1,Norte,1995,1995,214,Quantidade produzida,1017,Toneladas,28423
