D1C,D1N,D2C,D2N,D3C,D3N,D4C,D4N,MC,MN,V
2688,Abacaxi,1,Brasil,2011,2011,109,Área plantada,1006,Hectares,62868
2688,Abacaxi,1,Brasil,2011,2011,216,Área colhida,1006,Hectares,62481
2688,Abacaxi,1,Brasil,2011,2011,214,Quantidade produzida,1017,Toneladas,1576970
2688,Abacaxi,1,Brasil,2011,2011,112,Rendimento médio da produção,33,Quilogramas por Hectare,25239
2688,Abacaxi,1,Brasil,2011,2011,215,Valor da produção,40,Mil Reais,1474381
2689,Algodão herbáceo (em caroço),1,Brasil,2011,2011,109,Área plantada,1006,Hectares,1405540
2689,Algodão herbáceo (em caroço),1,Brasil,2011,2011,216,Área colhida,1006,Hectares,1405135
2689,Algodão herbáceo (em caroço),1,Brasil,2011,2011,214,Quantidade produzida,1017,Toneladas,5070717
2689,Algodão herbáceo (em caroço),1,Brasil,2011,2011,112,Rendimento médio da produção,33,Quilogramas por Hectare,3609
2689,Algodão herbáceo (em caroço),1,Brasil,2011,2011,215,Valor da produção,40,Mil Reais,7277575
2690,Alho,1,Brasil,2011,2011,109,Área plantada,1006,Hectares,12930
2690,Alho,1,Brasil,2011,2011,216,Área colhida,1006,Hectares,12928
2690,Alho,1,Brasil,2011,2011,214,Quantidade produzida,1017,Toneladas,143293
2690,Alho,1,Brasil,2011,2011,112,Rendimento médio da produção,33,Quilogramas por Hectare,11084
2690,Alho,1,Brasil,2011,2011,215,Valor da produção,40,Mil Reais,474490
2691,Amendoim (em casca),1,Brasil,2011,2011,109,Área plantada,1006,Hectares,107185
2691,Amendoim (em casca),1,Brasil,2011,2011,216,Área colhida,1006,Hectares,106671
2691,Amendoim (em casca),1,Brasil,2011,2011,214,Quantidade produzida,1017,Toneladas,311409
2691,Amendoim (em casca),1,Brasil,2011,2011,112,Rendimento médio da produção,33,Quilogramas por Hectare,2919
2691,Amendoim (em casca),1,Brasil,2011,2011,215,Valor da produção,40,Mil Reais,409837
2692,Arroz (em casca),1,Brasil,2011,2011,109,Área plantada,1006,Hectares,2855312
2692,Arroz (em casca),1,Brasil,2011,2011,216,Área colhida,1006,Hectares,2752891
2692,Arroz (em casca),1,Brasil,2011,2011,214,Quantidade produzida,1017,Toneladas,13476994
2692,Arroz (em casca),1,Brasil,2011,2011,112,Rendimento médio da produção,33,Quilogramas por Hectare,4896
2692,Arroz (em casca),1,Brasil,2011,2011,215,Valor da produção,40,Mil Reais,5889804
2693,Aveia (em grão),1,Brasil,2011,2011,109,Área plantada,1006,Hectares,172327
2693,Aveia (em grão),1,Brasil,2011,2011,216,Área colhida,1006,Hectares,172127
2693,Aveia (em grão),1,Brasil,2011,2011,214,Quantidade produzida,1017,Toneladas,373009
2693,Aveia (em grão),1,Brasil,2011,2011,112,Rendimento médio da produção,33,Quilogramas por Hectare,2167
2693,Aveia (em grão),1,Brasil,2011,2011,215,Valor da produção,40,Mil Reais,129180
2694,Batata-doce,1,Brasil,2011,2011,109,Área plantada,1006,Hectares,43879
2694,Batata-doce,1,Brasil,2011,2011,216,Área colhida,1006,Hectares,43843
2694,Batata-doce,1,Brasil,2011,2011,214,Quantidade produzida,1017,Toneladas,544820
2694,Batata-doce,1,Brasil,2011,2011,112,Rendimento médio da produção,33,Quilogramas por Hectare,12427
2694,Batata-doce,1,Brasil,2011,2011,215,Valor da produção,40,Mil Reais,354376
2695,Batata-inglesa,1,Brasil,2011,2011,109,Área plantada,1006,Hectares,149292
2695,Batata-inglesa,1,Brasil,2011,2011,216,Área colhida,1006,Hectares,149212
2695,Batata-inglesa,1,Brasil,2011,2011,214,Quantidade produzida,1017,Toneladas,3917234
2695,Batata-inglesa,1,Brasil,2011,2011,112,Rendimento médio da produção,33,Quilogramas por Hectare,26253
2695,Batata-inglesa,1,Brasil,2011,2011,215,Valor da produção,40,Mil Reais,2332976
2696,Cana-de-açúcar,1,Brasil,2011,2011,109,Área plantada,1006,Hectares,9616615
2696,Cana-de-açúcar,1,Brasil,2011,2011,216,Área colhida,1006,Hectares,9601316
2696,Cana-de-açúcar,1,Brasil,2011,2011,214,Quantidade produzida,1017,Toneladas,734006059
2696,Cana-de-açúcar,1,Brasil,2011,2011,112,Rendimento médio da produção,33,Quilogramas por Hectare,76448
2696,Cana-de-açúcar,1,Brasil,2011,2011,215,Valor da produção,40,Mil Reais,39224254
2697,Cebola,1,Brasil,2011,2011,109,Área plantada,1006,Hectares,63481
2697,Cebola,1,Brasil,2011,2011,216,Área colhida,1006,Hectares,63481
2697,Cebola,1,Brasil,2011,2011,214,Quantidade produzida,1017,Toneladas,1523316
2697,Cebola,1,Brasil,2011,2011,112,Rendimento médio da produção,33,Quilogramas por Hectare,23996
2697,Cebola,1,Brasil,2011,2011,215,Valor da produção,40,Mil Reais,900348
2698,Centeio (em grão),1,Brasil,2011,2011,109,Área plantada,1006,Hectares,2341
2698,Centeio (em grão),1,Brasil,2011,2011,216,Área colhida,1006,Hectares,2341
2698,Centeio (em grão),1,Brasil,2011,2011,214,Quantidade produzida,1017,Toneladas,3519
2698,Centeio (em grão),1,Brasil,2011,2011,112,Rendimento médio da produção,33,Quilogramas por Hectare,1503
2698,Centeio (em grão),1,Brasil,2011,2011,215,Valor da produção,40,Mil Reais,1701
2699,Cevada (em grão),1,Brasil,2011,2011,109,Área plantada,1006,Hectares,88236
2699,Cevada (em grão),1,Brasil,2011,2011,216,Área colhida,1006,Hectares,88236
2699,Cevada (em grão),1,Brasil,2011,2011,214,Quantidade produzida,1017,Toneladas,303872
2699,Cevada (em grão),1,Brasil,2011,2011,112,Rendimento médio da produção,33,Quilogramas por Hectare,3444
2699,Cevada (em grão),1,Brasil,2011,2011,215,Valor da produção,40,Mil Reais,136911
2700,Ervilha (em grão),1,Brasil,2011,2011,109,Área plantada,1006,Hectares,1538
2700,Ervilha (em grão),1,Brasil,2011,2011,216,Área colhida,1006,Hectares,1538
2700,Ervilha (em grão),1,Brasil,2011,2011,214,Quantidade produzida,1017,Toneladas,3901
2700,Ervilha (em grão),1,Brasil,2011,2011,112,Rendimento médio da produção,33,Quilogramas por Hectare,2536
2700,Ervilha (em grão),1,Brasil,2011,2011,215,Valor da produção,40,Mil Reais,8099
2701,Fava (em grão),1,Brasil,2011,2011,109,Área plantada,1006,Hectares,37223
2701,Fava (em grão),1,Brasil,2011,2011,216,Área colhida,1006,Hectares,37132
2701,Fava (em grão),1,Brasil,2011,2011,214,Quantidade produzida,1017,Toneladas,16680
2701,Fava (em grão),1,Brasil,2011,2011,112,Rendimento médio da produção,33,Quilogramas por Hectare,449
2701,Fava (em grão),1,Brasil,2011,2011,215,Valor da produção,40,Mil Reais,40325
2702,Feijão (em grão),1,Brasil,2011,2011,109,Área plantada,1006,Hectares,3907926
2702,Feijão (em grão),1,Brasil,2011,2011,216,Área colhida,1006,Hectares,3673162
2702,Feijão (em grão),1,Brasil,2011,2011,214,Quantidade produzida,1017,Toneladas,3435366
2702,Feijão (em grão),1,Brasil,2011,2011,112,Rendimento médio da produção,33,Quilogramas por Hectare,935
2702,Feijão (em grão),1,Brasil,2011,2011,215,Valor da produção,40,Mil Reais,5148770
2703,Fumo (em folha),1,Brasil,2011,2011,109,Área plantada,1006,Hectares,454521
