D1C,D1N,D2C,D2N,D3C,D3N,D4C,D4N,MC,MN,V
2688,Abacaxi,1,Brasil,2002,2002,109,Área plantada,1006,Hectares,62862
2688,Abacaxi,1,Brasil,2002,2002,216,Área colhida,1006,Hectares,61127
2688,Abacaxi,1,Brasil,2002,2002,214,Quantidade produzida,1017,Toneladas,1433234
2688,Abacaxi,1,Brasil,2002,2002,112,Rendimento médio da produção,33,Quilogramas por Hectare,23446
2688,Abacaxi,1,Brasil,2002,2002,215,Valor da produção,40,Mil Reais,550893
2689,Algodão herbáceo (em caroço),1,Brasil,2002,2002,109,Área plantada,1006,Hectares,763992
2689,Algodão herbáceo (em caroço),1,Brasil,2002,2002,216,Área colhida,1006,Hectares,760431
2689,Algodão herbáceo (em caroço),1,Brasil,2002,2002,214,Quantidade produzida,1017,Toneladas,2166014
2689,Algodão herbáceo (em caroço),1,Brasil,2002,2002,112,Rendimento médio da produção,33,Quilogramas por Hectare,2848
2689,Algodão herbáceo (em caroço),1,Brasil,2002,2002,215,Valor da produção,40,Mil Reais,1624055
2690,Alho,1,Brasil,2002,2002,109,Área plantada,1006,Hectares,15760
2690,Alho,1,Brasil,2002,2002,216,Área colhida,1006,Hectares,15715
2690,Alho,1,Brasil,2002,2002,214,Quantidade produzida,1017,Toneladas,114436
2690,Alho,1,Brasil,2002,2002,112,Rendimento médio da produção,33,Quilogramas por Hectare,7281
2690,Alho,1,Brasil,2002,2002,215,Valor da produção,40,Mil Reais,309550
2691,Amendoim (em casca),1,Brasil,2002,2002,109,Área plantada,1006,Hectares,97125
2691,Amendoim (em casca),1,Brasil,2002,2002,216,Área colhida,1006,Hectares,97093
2691,Amendoim (em casca),1,Brasil,2002,2002,214,Quantidade produzida,1017,Toneladas,195284
2691,Amendoim (em casca),1,Brasil,2002,2002,112,Rendimento médio da produção,33,Quilogramas por Hectare,2011
2691,Amendoim (em casca),1,Brasil,2002,2002,215,Valor da produção,40,Mil Reais,147202
2692,Arroz (em casca),1,Brasil,2002,2002,109,Área plantada,1006,Hectares,3171955
2692,Arroz (em casca),1,Brasil,2002,2002,216,Área colhida,1006,Hectares,3142051
2692,Arroz (em casca),1,Brasil,2002,2002,214,Quantidade produzida,1017,Toneladas,10445986
2692,Arroz (em casca),1,Brasil,2002,2002,112,Rendimento médio da produção,33,Quilogramas por Hectare,3324
2692,Arroz (em casca),1,Brasil,2002,2002,215,Valor da produção,40,Mil Reais,3824430
2693,Aveia (em grão),1,Brasil,2002,2002,109,Área plantada,1006,Hectares,264438
2693,Aveia (em grão),1,Brasil,2002,2002,216,Área colhida,1006,Hectares,254663
2693,Aveia (em grão),1,Brasil,2002,2002,214,Quantidade produzida,1017,Toneladas,298686
2693,Aveia (em grão),1,Brasil,2002,2002,112,Rendimento médio da produção,33,Quilogramas por Hectare,1172
2693,Aveia (em grão),1,Brasil,2002,2002,215,Valor da produção,40,Mil Reais,76084
2694,Batata-doce,1,Brasil,2002,2002,109,Área plantada,1006,Hectares,43959
2694,Batata-doce,1,Brasil,2002,2002,216,Área colhida,1006,Hectares,43895
2694,Batata-doce,1,Brasil,2002,2002,214,Quantidade produzida,1017,Toneladas,498046
2694,Batata-doce,1,Brasil,2002,2002,112,Rendimento médio da produção,33,Quilogramas por Hectare,11346
2694,Batata-doce,1,Brasil,2002,2002,215,Valor da produção,40,Mil Reais,160871
2695,Batata-inglesa,1,Brasil,2002,2002,109,Área plantada,1006,Hectares,161139
2695,Batata-inglesa,1,Brasil,2002,2002,216,Área colhida,1006,Hectares,161124
2695,Batata-inglesa,1,Brasil,2002,2002,214,Quantidade produzida,1017,Toneladas,3126411
2695,Batata-inglesa,1,Brasil,2002,2002,112,Rendimento médio da produção,33,Quilogramas por Hectare,19403
2695,Batata-inglesa,1,Brasil,2002,2002,215,Valor da produção,40,Mil Reais,1453575
2696,Cana-de-açúcar,1,Brasil,2002,2002,109,Área plantada,1006,Hectares,5206656
2696,Cana-de-açúcar,1,Brasil,2002,2002,216,Área colhida,1006,Hectares,5100405
2696,Cana-de-açúcar,1,Brasil,2002,2002,214,Quantidade produzida,1017,Toneladas,364389416
2696,Cana-de-açúcar,1,Brasil,2002,2002,112,Rendimento médio da produção,33,Quilogramas por Hectare,71443
2696,Cana-de-açúcar,1,Brasil,2002,2002,215,Valor da produção,40,Mil Reais,11540275
2697,Cebola,1,Brasil,2002,2002,109,Área plantada,1006,Hectares,69024
2697,Cebola,1,Brasil,2002,2002,216,Área colhida,1006,Hectares,68869
2697,Cebola,1,Brasil,2002,2002,214,Quantidade produzida,1017,Toneladas,1222124
2697,Cebola,1,Brasil,2002,2002,112,Rendimento médio da produção,33,Quilogramas por Hectare,17745
2697,Cebola,1,Brasil,2002,2002,215,Valor da produção,40,Mil Reais,486374
2698,Centeio (em grão),1,Brasil,2002,2002,109,Área plantada,1006,Hectares,5320
2698,Centeio (em grão),1,Brasil,2002,2002,216,Área colhida,1006,Hectares,4847
2698,Centeio (em grão),1,Brasil,2002,2002,214,Quantidade produzida,1017,Toneladas,5073
