D1C,D1N,D2C,D2N,D3C,D3N,D4C,D4N,MC,MN,V
2688,Abacaxi,1,Brasil,2008,2008,109,Área plantada,1006,Hectares,69980
2688,Abacaxi,1,Brasil,2008,2008,216,Área colhida,1006,Hectares,65982
2688,Abacaxi,1,Brasil,2008,2008,214,Quantidade produzida,1017,Toneladas,1712365
2688,Abacaxi,1,Brasil,2008,2008,112,Rendimento médio da produção,33,Quilogramas por Hectare,25952
2688,Abacaxi,1,Brasil,2008,2008,215,Valor da produção,40,Mil Reais,1038687
2689,Algodão herbáceo (em caroço),1,Brasil,2008,2008,109,Área plantada,1006,Hectares,1066996
2689,Algodão herbáceo (em caroço),1,Brasil,2008,2008,216,Área colhida,1006,Hectares,1063817
2689,Algodão herbáceo (em caroço),1,Brasil,2008,2008,214,Quantidade produzida,1017,Toneladas,3983181
2689,Algodão herbáceo (em caroço),1,Brasil,2008,2008,112,Rendimento médio da produção,33,Quilogramas por Hectare,3744
2689,Algodão herbáceo (em caroço),1,Brasil,2008,2008,215,Valor da produção,40,Mil Reais,3927494
2690,Alho,1,Brasil,2008,2008,109,Área plantada,1006,Hectares,10228
2690,Alho,1,Brasil,2008,2008,216,Área colhida,1006,Hectares,10228
2690,Alho,1,Brasil,2008,2008,214,Quantidade produzida,1017,Toneladas,91714
2690,Alho,1,Brasil,2008,2008,112,Rendimento médio da produção,33,Quilogramas por Hectare,8966
2690,Alho,1,Brasil,2008,2008,215,Valor da produção,40,Mil Reais,216826
2691,Amendoim (em casca),1,Brasil,2008,2008,109,Área plantada,1006,Hectares,121457
2691,Amendoim (em casca),1,Brasil,2008,2008,216,Área colhida,1006,Hectares,121456
2691,Amendoim (em casca),1,Brasil,2008,2008,214,Quantidade produzida,1017,Toneladas,312802
2691,Amendoim (em casca),1,Brasil,2008,2008,112,Rendimento médio da produção,33,Quilogramas por Hectare,2575
2691,Amendoim (em casca),1,Brasil,2008,2008,215,Valor da produção,40,Mil Reais,359231
2692,Arroz (em casca),1,Brasil,2008,2008,109,Área plantada,1006,Hectares,2869285
2692,Arroz (em casca),1,Brasil,2008,2008,216,Área colhida,1006,Hectares,2850678
2692,Arroz (em casca),1,Brasil,2008,2008,214,Quantidade produzida,1017,Toneladas,12061465
2692,Arroz (em casca),1,Brasil,2008,2008,112,Rendimento médio da produção,33,Quilogramas por Hectare,4231
2692,Arroz (em casca),1,Brasil,2008,2008,215,Valor da produção,40,Mil Reais,6998506
2693,Aveia (em grão),1,Brasil,2008,2008,109,Área plantada,1006,Hectares,117058
2693,Aveia (em grão),1,Brasil,2008,2008,216,Área colhida,1006,Hectares,117058
2693,Aveia (em grão),1,Brasil,2008,2008,214,Quantidade produzida,1017,Toneladas,238516
2693,Aveia (em grão),1,Brasil,2008,2008,112,Rendimento médio da produção,33,Quilogramas por Hectare,2037
2693,Aveia (em grão),1,Brasil,2008,2008,215,Valor da produção,40,Mil Reais,89931
2694,Batata-doce,1,Brasil,2008,2008,109,Área plantada,1006,Hectares,45597
2694,Batata-doce,1,Brasil,2008,2008,216,Área colhida,1006,Hectares,45552
2694,Batata-doce,1,Brasil,2008,2008,214,Quantidade produzida,1017,Toneladas,548438
2694,Batata-doce,1,Brasil,2008,2008,112,Rendimento médio da produção,33,Quilogramas por Hectare,12039
2694,Batata-doce,1,Brasil,2008,2008,215,Valor da produção,40,Mil Reais,296164
2695,Batata-inglesa,1,Brasil,2008,2008,109,Área plantada,1006,Hectares,144919
2695,Batata-inglesa,1,Brasil,2008,2008,216,Área colhida,1006,Hectares,144916
2695,Batata-inglesa,1,Brasil,2008,2008,214,Quantidade produzida,1017,Toneladas,3676938
2695,Batata-inglesa,1,Brasil,2008,2008,112,Rendimento médio da produção,33,Quilogramas por Hectare,25372
2695,Batata-inglesa,1,Brasil,2008,2008,215,Valor da produção,40,Mil Reais,2261869
2696,Cana-de-açúcar,1,Brasil,2008,2008,109,Área plantada,1006,Hectares,8210877
2696,Cana-de-açúcar,1,Brasil,2008,2008,216,Área colhida,1006,Hectares,8140089
2696,Cana-de-açúcar,1,Brasil,2008,2008,214,Quantidade produzida,1017,Toneladas,645300182
2696,Cana-de-açúcar,1,Brasil,2008,2008,112,Rendimento médio da produção,33,Quilogramas por Hectare,79274
2696,Cana-de-açúcar,1,Brasil,2008,2008,215,Valor da produção,40,Mil Reais,20650551
2697,Cebola,1,Brasil,2008,2008,109,Área plantada,1006,Hectares,65164
2697,Cebola,1,Brasil,2008,2008,216,Área colhida,1006,Hectares,65164
2697,Cebola,1,Brasil,2008,2008,214,Quantidade produzida,1017,Toneladas,1367066
2697,Cebola,1,Brasil,2008,2008,112,Rendimento médio da produção,33,Quilogramas por Hectare,20978
2697,Cebola,1,Brasil,2008,2008,215,Valor da produção,40,Mil Reais,974124
2698,Centeio (em grão),1,Brasil,2008,2008,109,Área plantada,1006,Hectares,4748
2698,Centeio (em grão),1,Brasil,2008,2008,216,Área colhida,1006,Hectares,4748
2698,Centeio (em grão),1,Brasil,2008,2008,214,Quantidade produzida,1017,Toneladas,6085
2698,Centeio (em grão),1,Brasil,2008,2008,112,Rendimento médio da produção,33,Quilogramas por Hectare,1281
2698,Centeio (em grão),1,Brasil,2008,2008,215,Valor da produção,40,Mil Reais,2649
2699,Cevada (em grão),1,Brasil,2008,2008,109,Área plantada,1006,Hectares,79270
2699,Cevada (em grão),1,Brasil,2008,2008,216,Área colhida,1006,Hectares,79270
