D1C,D1N,D2C,D2N,D3C,D3N,D4C,D4N,MC,MN,V
2688,Abacaxi,1,Brasil,2013,2013,109,Área plantada,1006,Hectares,64421
2688,Abacaxi,1,Brasil,2013,2013,216,Área colhida,1006,Hectares,63204
2688,Abacaxi,1,Brasil,2013,2013,214,Quantidade produzida,1017,Toneladas,1655887
2688,Abacaxi,1,Brasil,2013,2013,112,Rendimento médio da produção,33,Quilogramas por Hectare,26199
2688,Abacaxi,1,Brasil,2013,2013,215,Valor da produção,40,Mil Reais,1854309
2689,Algodão herbáceo (em caroço),1,Brasil,2013,2013,109,Área plantada,1006,Hectares,946406
2689,Algodão herbáceo (em caroço),1,Brasil,2013,2013,216,Área colhida,1006,Hectares,943742
2689,Algodão herbáceo (em caroço),1,Brasil,2013,2013,214,Quantidade produzida,1017,Toneladas,3417196
2689,Algodão herbáceo (em caroço),1,Brasil,2013,2013,112,Rendimento médio da produção,33,Quilogramas por Hectare,3621
2689,Algodão herbáceo (em caroço),1,Brasil,2013,2013,215,Valor da produção,40,Mil Reais,6923887
2690,Alho,1,Brasil,2013,2013,109,Área plantada,1006,Hectares,9567
2690,Alho,1,Brasil,2013,2013,216,Área colhida,1006,Hectares,9567
2690,Alho,1,Brasil,2013,2013,214,Quantidade produzida,1017,Toneladas,102232
2690,Alho,1,Brasil,2013,2013,112,Rendimento médio da produção,33,Quilogramas por Hectare,10686
2690,Alho,1,Brasil,2013,2013,215,Valor da produção,40,Mil Reais,573738
2691,Amendoim (em casca),1,Brasil,2013,2013,109,Área plantada,1006,Hectares,121102
2691,Amendoim (em casca),1,Brasil,2013,2013,216,Área colhida,1006,Hectares,120970
2691,Amendoim (em casca),1,Brasil,2013,2013,214,Quantidade produzida,1017,Toneladas,389783
2691,Amendoim (em casca),1,Brasil,2013,2013,112,Rendimento médio da produção,33,Quilogramas por Hectare,3222
2691,Amendoim (em casca),1,Brasil,2013,2013,215,Valor da produção,40,Mil Reais,479817
2692,Arroz (em casca),1,Brasil,2013,2013,109,Área plantada,1006,Hectares,2386821
2692,Arroz (em casca),1,Brasil,2013,2013,216,Área colhida,1006,Hectares,2353152
2692,Arroz (em casca),1,Brasil,2013,2013,214,Quantidade produzida,1017,Toneladas,11782549
2692,Arroz (em casca),1,Brasil,2013,2013,112,Rendimento médio da produção,33,Quilogramas por Hectare,5007
2692,Arroz (em casca),1,Brasil,2013,2013,215,Valor da produção,40,Mil Reais,7545033
2693,Aveia (em grão),1,Brasil,2013,2013,109,Área plantada,1006,Hectares,243181
2693,Aveia (em grão),1,Brasil,2013,2013,216,Área colhida,1006,Hectares,227632
2693,Aveia (em grão),1,Brasil,2013,2013,214,Quantidade produzida,1017,Toneladas,520397
2693,Aveia (em grão),1,Brasil,2013,2013,112,Rendimento médio da produção,33,Quilogramas por Hectare,2286
2693,Aveia (em grão),1,Brasil,2013,2013,215,Valor da produção,40,Mil Reais,227109
2694,Batata-doce,1,Brasil,2013,2013,109,Área plantada,1006,Hectares,39393
2694,Batata-doce,1,Brasil,2013,2013,216,Área colhida,1006,Hectares,38602
2694,Batata-doce,1,Brasil,2013,2013,214,Quantidade produzida,1017,Toneladas,505350
2694,Batata-doce,1,Brasil,2013,2013,112,Rendimento médio da produção,33,Quilogramas por Hectare,13091
2694,Batata-doce,1,Brasil,2013,2013,215,Valor da produção,40,Mil Reais,412896
2695,Batata-inglesa,1,Brasil,2013,2013,109,Área plantada,1006,Hectares,128118
2695,Batata-inglesa,1,Brasil,2013,2013,216,Área colhida,1006,Hectares,128056
2695,Batata-inglesa,1,Brasil,2013,2013,214,Quantidade produzida,1017,Toneladas,3553772
2695,Batata-inglesa,1,Brasil,2013,2013,112,Rendimento médio da produção,33,Quilogramas por Hectare,27752
2695,Batata-inglesa,1,Brasil,2013,2013,215,Valor da produção,40,Mil Reais,3855675
2696,Cana-de-açúcar,1,Brasil,2013,2013,109,Área plantada,1006,Hectares,10223043
2696,Cana-de-açúcar,1,Brasil,2013,2013,216,Área colhida,1006,Hectares,10195166
2696,Cana-de-açúcar,1,Brasil,2013,2013,214,Quantidade produzida,1017,Toneladas,768090444
2696,Cana-de-açúcar,1,Brasil,2013,2013,112,Rendimento médio da produção,33,Quilogramas por Hectare,75339
2696,Cana-de-açúcar,1,Brasil,2013,2013,215,Valor da produção,40,Mil Reais,42946610
2697,Cebola,1,Brasil,2013,2013,109,Área plantada,1006,Hectares,57587
2697,Cebola,1,Brasil,2013,2013,216,Área colhida,1006,Hectares,57402
2697,Cebola,1,Brasil,2013,2013,214,Quantidade produzida,1017,Toneladas,1538929
2697,Cebola,1,Brasil,2013,2013,112,Rendimento médio da produção,33,Quilogramas por Hectare,26810
2697,Cebola,1,Brasil,2013,2013,215,Valor da produção,40,Mil Reais,1305038
2698,Centeio (em grão),1,Brasil,2013,2013,109,Área plantada,1006,Hectares,3844
2698,Centeio (em grão),1,Brasil,2013,2013,216,Área colhida,1006,Hectares,3744
2698,Centeio (em grão),1,Brasil,2013,2013,214,Quantidade produzida,1017,Toneladas,5743
2698,Centeio (em grão),1,Brasil,2013,2013,112,Rendimento médio da produção,33,Quilogramas por Hectare,1534
2698,Centeio (em grão),1,Brasil,2013,2013,215,Valor da produção,40,Mil Reais,3308
2699,Cevada (em grão),1,Brasil,2013,2013,109,Área plantada,1006,Hectares,88406
2699,Cevada (em grão),1,Brasil,2013,2013,216,Área colhida,1006,Hectares,88321
2699,Cevada (em grão),1,Brasil,2013,2013,214,Quantidade produzida,1017,Toneladas,330682
2699,Cevada (em grão),1,Brasil,2013,2013,112,Rendimento médio da produção,33,Quilogramas por Hectare,3744
2699,Cevada (em grão),1,Brasil,2013,2013,215,Valor da produção,40,Mil Reais,190906
2700,Ervilha (em grão),1,Brasil,2013,2013,109,Área plantada,1006,Hectares,1259
2700,Ervilha (em grão),1,Brasil,2013,2013,216,Área colhida,1006,Hectares,1259
2700,Ervilha (em grão),1,Brasil,2013,2013,214,Quantidade produzida,1017,Toneladas,2992
2700,Ervilha (em grão),1,Brasil,2013,2013,112,Rendimento médio da produção,33,Quilogramas por Hectare,2376
2700,Ervilha (em grão),1,Brasil,2013,2013,215,Valor da produção,40,Mil Reais,5893
2701,Fava (em grão),1,Brasil,2013,2013,109,Área plantada,1006,Hectares,25542
2701,Fava (em grão),1,Brasil,2013,2013,216,Área colhida,1006,Hectares,23469
2701,Fava (em grão),1,Brasil,2013,2013,214,Quantidade produzida,1017,Toneladas,7957
2701,Fava (em grão),1,Brasil,2013,2013,112,Rendimento médio da produção,33,Quilogramas por Hectare,339
2701,Fava (em grão),1,Brasil,2013,2013,215,Valor da produção,40,Mil Reais,49394
2702,Feijão (em grão),1,Brasil,2013,2013,109,Área plantada,1006,Hectares,3041299
2702,Feijão (em grão),1,Brasil,2013,2013,216,Área colhida,1006,Hectares,2813506
2702,Feijão (em grão),1,Brasil,2013,2013,214,Quantidade produzida,1017,Toneladas,2892599
2702,Feijão (em grão),1,Brasil,2013,2013,112,Rendimento médio da produção,33,Quilogramas por Hectare,1028
2702,Feijão (em grão),1,Brasil,2013,2013,215,Valor da produção,40,Mil Reais,6945595
2703,Fumo (em folha),1,Brasil,2013,2013,109,Área plantada,1006,Hectares,405671
2703,Fumo (em folha),1,Brasil,2013,2013,216,Área colhida,1006,Hectares,405253
2703,Fumo (em folha),1,Brasil,2013,2013,214,Quantidade produzida,1017,Toneladas,850673
2703,Fumo (em folha),1,Brasil,2013,2013,112,Rendimento médio da produção,33,Quilogramas por Hectare,2099
2703,Fumo (em folha),1,Brasil,2013,2013,215,Valor da produção,40,Mil Reais,5631445
109179,Girassol (em grão),1,Brasil,2013,2013,109,Área plantada,1006,Hectares,69330
109179,Girassol (em grão),1,Brasil,2013,2013,216,Área colhida,1006,Hectares,69070
109179,Girassol (em grão),1,Brasil,2013,2013,214,Quantidade produzida,1017,Toneladas,108838
109179,Girassol (em grão),1,Brasil,2013,2013,112,Rendimento médio da produção,33,Quilogramas por Hectare,1576
109179,Girassol (em grão),1,Brasil,2013,2013,215,Valor da produção,40,Mil Reais,93436
2704,Juta (fibra),1,Brasil,2013,2013,109,Área plantada,1006,Hectares,423
2704,Juta (fibra),1,Brasil,2013,2013,216,Área colhida,1006,Hectares,396
2704,Juta (fibra),1,Brasil,2013,2013,214,Quantidade produzida,1017,Toneladas,490
2704,Juta (fibra),1,Brasil,2013,2013,112,Rendimento médio da produção,33,Quilogramas por Hectare,1237
2704,Juta (fibra),1,Brasil,2013,2013,215,Valor da produção,40,Mil Reais,822
2705,Linho (semente),1,Brasil,2013,2013,109,Área plantada,1006,Hectares,8757
2705,Linho (semente),1,Brasil,2013,2013,216,Área colhida,1006,Hectares,8757
2705,Linho (semente),1,Brasil,2013,2013,214,Quantidade produzida,1017,Toneladas,9734
2705,Linho (semente),1,Brasil,2013,2013,112,Rendimento médio da produção,33,Quilogramas por Hectare,1112
2705,Linho (semente),1,Brasil,2013,2013,215,Valor da produção,40,Mil Reais,13558
2706,Malva (fibra),1,Brasil,2013,2013,109,Área plantada,1006,Hectares,7906
2706,Malva (fibra),1,Brasil,2013,2013,216,Área colhida,1006,Hectares,6612
2706,Malva (fibra),1,Brasil,2013,2013,214,Quantidade produzida,1017,Toneladas,9502
2706,Malva (fibra),1,Brasil,2013,2013,112,Rendimento médio da produção,33,Quilogramas por Hectare,1437
2706,Malva (fibra),1,Brasil,2013,2013,215,Valor da produção,40,Mil Reais,16384
2707,Mamona (baga),1,Brasil,2013,2013,109,Área plantada,1006,Hectares,84015
2707,Mamona (baga),1,Brasil,2013,2013,216,Área colhida,1006,Hectares,43635
2707,Mamona (baga),1,Brasil,2013,2013,214,Quantidade produzida,1017,Toneladas,12526
2707,Mamona (baga),1,Brasil,2013,2013,112,Rendimento médio da produção,33,Quilogramas por Hectare,287
2707,Mamona (baga),1,Brasil,2013,2013,215,Valor da produção,40,Mil Reais,17830
2708,Mandioca,1,Brasil,2013,2013,109,Área plantada,1006,Hectares,1560263
2708,Mandioca,1,Brasil,2013,2013,216,Área colhida,1006,Hectares,1525918
2708,Mandioca,1,Brasil,2013,2013,214,Quantidade produzida,1017,Toneladas,21484218
2708,Mandioca,1,Brasil,2013,2013,112,Rendimento médio da produção,33,Quilogramas por Hectare,14080
2708,Mandioca,1,Brasil,2013,2013,215,Valor da produção,40,Mil Reais,10130512
2709,Melancia,1,Brasil,2013,2013,109,Área plantada,1006,Hectares,93190
2709,Melancia,1,Brasil,2013,2013,216,Área colhida,1006,Hectares,92021
2709,Melancia,1,Brasil,2013,2013,214,Quantidade produzida,1017,Toneladas,2163501
2709,Melancia,1,Brasil,2013,2013,112,Rendimento médio da produção,33,Quilogramas por Hectare,23511
2709,Melancia,1,Brasil,2013,2013,215,Valor da produção,40,Mil Reais,1107987
2710,Melão,1,Brasil,2013,2013,109,Área plantada,1006,Hectares,22062
2710,Melão,1,Brasil,2013,2013,216,Área colhida,1006,Hectares,22021
2710,Melão,1,Brasil,2013,2013,214,Quantidade produzida,1017,Toneladas,565900
2710,Melão,1,Brasil,2013,2013,112,Rendimento médio da produção,33,Quilogramas por Hectare,25698
2710,Melão,1,Brasil,2013,2013,215,Valor da produção,40,Mil Reais,501652
2711,Milho (em grão),1,Brasil,2013,2013,109,Área plantada,1006,Hectares,15708367
2711,Milho (em grão),1,Brasil,2013,2013,216,Área colhida,1006,Hectares,15279652
2711,Milho (em grão),1,Brasil,2013,2013,214,Quantidade produzida,1017,Toneladas,80273172
2711,Milho (em grão),1,Brasil,2013,2013,112,Rendimento médio da produção,33,Quilogramas por Hectare,5254
2711,Milho (em grão),1,Brasil,2013,2013,215,Valor da produção,40,Mil Reais,26723097
2712,Rami (fibra),1,Brasil,2013,2013,109,Área plantada,1006,Hectares,150
2712,Rami (fibra),1,Brasil,2013,2013,216,Área colhida,1006,Hectares,150
2712,Rami (fibra),1,Brasil,2013,2013,214,Quantidade produzida,1017,Toneladas,495
2712,Rami (fibra),1,Brasil,2013,2013,112,Rendimento médio da produção,33,Quilogramas por Hectare,3300
2712,Rami (fibra),1,Brasil,2013,2013,215,Valor da produção,40,Mil Reais,990
2713,Soja (em grão),1,Brasil,2013,2013,109,Área plantada,1006,Hectares,27948605
2713,Soja (em grão),1,Brasil,2013,2013,216,Área colhida,1006,Hectares,27906675
2713,Soja (em grão),1,Brasil,2013,2013,214,Quantidade produzida,1017,Toneladas,81724477
2713,Soja (em grão),1,Brasil,2013,2013,112,Rendimento médio da produção,33,Quilogramas por Hectare,2928
2713,Soja (em grão),1,Brasil,2013,2013,215,Valor da produção,40,Mil Reais,68934363
2714,Sorgo (em grão),1,Brasil,2013,2013,109,Área plantada,1006,Hectares,802020
2714,Sorgo (em grão),1,Brasil,2013,2013,216,Área colhida,1006,Hectares,792838
2714,Sorgo (em grão),1,Brasil,2013,2013,214,Quantidade produzida,1017,Toneladas,2126179
2714,Sorgo (em grão),1,Brasil,2013,2013,112,Rendimento médio da produção,33,Quilogramas por Hectare,2682
2714,Sorgo (em grão),1,Brasil,2013,2013,215,Valor da produção,40,Mil Reais,535796
2715,Tomate,1,Brasil,2013,2013,109,Área plantada,1006,Hectares,62782
2715,Tomate,1,Brasil,2013,2013,216,Área colhida,1006,Hectares,62687
2715,Tomate,1,Brasil,2013,2013,214,Quantidade produzida,1017,Toneladas,4187646
2715,Tomate,1,Brasil,2013,2013,112,Rendimento médio da produção,33,Quilogramas por Hectare,66802
2715,Tomate,1,Brasil,2013,2013,215,Valor da produção,40,Mil Reais,5220504
2716,Trigo (em grão),1,Brasil,2013,2013,109,Área plantada,1006,Hectares,2225401
2716,Trigo (em grão),1,Brasil,2013,2013,216,Área colhida,1006,Hectares,2087395
2716,Trigo (em grão),1,Brasil,2013,2013,214,Quantidade produzida,1017,Toneladas,5738473
2716,Trigo (em grão),1,Brasil,2013,2013,112,Rendimento médio da produção,33,Quilogramas por Hectare,2749
2716,Trigo (em grão),1,Brasil,2013,2013,215,Valor da produção,40,Mil Reais,3809304
109180,Triticale (em grão),1,Brasil,2013,2013,109,Área plantada,1006,Hectares,27093
109180,Triticale (em grão),1,Brasil,2013,2013,216,Área colhida,1006,Hectares,25399
109180,Triticale (em grão),1,Brasil,2013,2013,214,Quantidade produzida,1017,Toneladas,62531
109180,Triticale (em grão),1,Brasil,2013,2013,112,Rendimento médio da produção,33,Quilogramas por Hectare,2462
109180,Triticale (em grão),1,Brasil,2013,2013,215,Valor da produção,40,Mil Reais,26522
