D1C,D1N,D2C,D2N,D3C,D3N,D4C,D4N,MC,MN,V
2717,Abacate,1,Brasil,2009,2009,2313,Área destinada à colheita,1006,Hectares,8509
2717,Abacate,1,Brasil,2009,2009,216,Área colhida,1006,Hectares,8411
2717,Abacate,1,Brasil,2009,2009,214,Quantidade produzida,1017,Toneladas,139089
2717,Abacate,1,Brasil,2009,2009,112,Rendimento médio da produção,33,Quilogramas por Hectare,16536
2717,Abacate,1,Brasil,2009,2009,215,Valor da produção,40,Mil Reais,66158
2718,Algodão arbóreo (em caroço),1,Brasil,2009,2009,2313,Área destinada à colheita,1006,Hectares,619
2718,Algodão arbóreo (em caroço),1,Brasil,2009,2009,216,Área colhida,1006,Hectares,619
2718,Algodão arbóreo (em caroço),1,Brasil,2009,2009,214,Quantidade produzida,1017,Toneladas,309
2718,Algodão arbóreo (em caroço),1,Brasil,2009,2009,112,Rendimento médio da produção,33,Quilogramas por Hectare,499
2718,Algodão arbóreo (em caroço),1,Brasil,2009,2009,215,Valor da produção,40,Mil Reais,294
2719,Azeitona,1,Brasil,2009,2009,2313,Área destinada à colheita,1006,Hectares,6
2719,Azeitona,1,Brasil,2009,2009,216,Área colhida,1006,Hectares,-
2719,Azeitona,1,Brasil,2009,2009,214,Quantidade produzida,1017,Toneladas,-
2719,Azeitona,1,Brasil,2009,2009,112,Rendimento médio da produção,33,Quilogramas por Hectare,-
2719,Azeitona,1,Brasil,2009,2009,215,Valor da produção,40,Mil Reais,-
2720,Banana (cacho),1,Brasil,2009,2009,2313,Área destinada à colheita,1006,Hectares,483532
2720,Banana (cacho),1,Brasil,2009,2009,216,Área colhida,1006,Hectares,479614
2720,Banana (cacho),1,Brasil,2009,2009,214,Quantidade produzida,1017,Toneladas,6783490
2720,Banana (cacho),1,Brasil,2009,2009,112,Rendimento médio da produção,33,Quilogramas por Hectare,14143
2720,Banana (cacho),1,Brasil,2009,2009,215,Valor da produção,40,Mil Reais,3160292
2721,Borracha (látex coagulado),1,Brasil,2009,2009,2313,Área destinada à colheita,1006,Hectares,154509
2721,Borracha (látex coagulado),1,Brasil,2009,2009,216,Área colhida,1006,Hectares,128900
2721,Borracha (látex coagulado),1,Brasil,2009,2009,214,Quantidade produzida,1017,Toneladas,211621
2721,Borracha (látex coagulado),1,Brasil,2009,2009,112,Rendimento médio da produção,33,Quilogramas por Hectare,1641
2721,Borracha (látex coagulado),1,Brasil,2009,2009,215,Valor da produção,40,Mil Reais,383629
2722,Cacau (em amêndoa),1,Brasil,2009,2009,2313,Área destinada à colheita,1006,Hectares,672435
2722,Cacau (em amêndoa),1,Brasil,2009,2009,216,Área colhida,1006,Hectares,635975
2722,Cacau (em amêndoa),1,Brasil,2009,2009,214,Quantidade produzida,1017,Toneladas,218487
2722,Cacau (em amêndoa),1,Brasil,2009,2009,112,Rendimento médio da produção,33,Quilogramas por Hectare,343
2722,Cacau (em amêndoa),1,Brasil,2009,2009,215,Valor da produção,40,Mil Reais,1079631
2723,Café (em grão) Total,1,Brasil,2009,2009,2313,Área destinada à colheita,1006,Hectares,2145806
2723,Café (em grão) Total,1,Brasil,2009,2009,216,Área colhida,1006,Hectares,2135508
2723,Café (em grão) Total,1,Brasil,2009,2009,214,Quantidade produzida,1017,Toneladas,2440056
2723,Café (em grão) Total,1,Brasil,2009,2009,112,Rendimento médio da produção,33,Quilogramas por Hectare,1142
2723,Café (em grão) Total,1,Brasil,2009,2009,215,Valor da produção,40,Mil Reais,8613912
31619,Café (em grão) Arábica,1,Brasil,2009,2009,2313,Área destinada à colheita,1006,Hectares,...
31619,Café (em grão) Arábica,1,Brasil,2009,2009,216,Área colhida,1006,Hectares,...
31619,Café (em grão) Arábica,1,Brasil,2009,2009,214,Quantidade produzida,1017,Toneladas,...
31619,Café (em grão) Arábica,1,Brasil,2009,2009,112,Rendimento médio da produção,33,Quilogramas por Hectare,...
31619,Café (em grão) Arábica,1,Brasil,2009,2009,215,Valor da produção,40,Mil Reais,...
31620,Café (em grão) Canephora,1,Brasil,2009,2009,2313,Área destinada à colheita,1006,Hectares,...
31620,Café (em grão) Canephora,1,Brasil,2009,2009,216,Área colhida,1006,Hectares,...
31620,Café (em grão) Canephora,1,Brasil,2009,2009,214,Quantidade produzida,1017,Toneladas,...
31620,Café (em grão) Canephora,1,Brasil,2009,2009,112,Rendimento médio da produção,33,Quilogramas por Hectare,...
31620,Café (em grão) Canephora,1,Brasil,2009,2009,215,Valor da produção,40,Mil Reais,...
2724,Caqui,1,Brasil,2009,2009,2313,Área destinada à colheita,1006,Hectares,8740
2724,Caqui,1,Brasil,2009,2009,216,Área colhida,1006,Hectares,8638
2724,Caqui,1,Brasil,2009,2009,214,Quantidade produzida,1017,Toneladas,171555
2724,Caqui,1,Brasil,2009,2009,112,Rendimento médio da produção,33,Quilogramas por Hectare,19860
2724,Caqui,1,Brasil,2009,2009,215,Valor da produção,40,Mil Reais,146674
2725,Castanha de caju,1,Brasil,2009,2009,2313,Área destinada à colheita,1006,Hectares,775225
2725,Castanha de caju,1,Brasil,2009,2009,216,Área colhida,1006,Hectares,758085
2725,Castanha de caju,1,Brasil,2009,2009,214,Quantidade produzida,1017,Toneladas,220505
2725,Castanha de caju,1,Brasil,2009,2009,112,Rendimento médio da produção,33,Quilogramas por Hectare,290
2725,Castanha de caju,1,Brasil,2009,2009,215,Valor da produção,40,Mil Reais,197379
2726,Chá-da-índia (folha verde),1,Brasil,2009,2009,2313,Área destinada à colheita,1006,Hectares,2601
2726,Chá-da-índia (folha verde),1,Brasil,2009,2009,216,Área colhida,1006,Hectares,2597
2726,Chá-da-índia (folha verde),1,Brasil,2009,2009,214,Quantidade produzida,1017,Toneladas,20153
2726,Chá-da-índia (folha verde),1,Brasil,2009,2009,112,Rendimento médio da produção,33,Quilogramas por Hectare,7760
2726,Chá-da-índia (folha verde),1,Brasil,2009,2009,215,Valor da produção,40,Mil Reais,9185
2727,Coco-da-baía,1,Brasil,2009,2009,2313,Área destinada à colheita,1006,Hectares,284951
2727,Coco-da-baía,1,Brasil,2009,2009,216,Área colhida,1006,Hectares,284058
2727,Coco-da-baía,1,Brasil,2009,2009,214,Quantidade produzida,1017,Toneladas,1973366
2727,Coco-da-baía,1,Brasil,2009,2009,112,Rendimento médio da produção,33,Quilogramas por Hectare,6947
2727,Coco-da-baía,1,Brasil,2009,2009,215,Valor da produção,40,Mil Reais,755883
2728,Dendê (cacho de coco),1,Brasil,2009,2009,2313,Área destinada à colheita,1006,Hectares,103913
2728,Dendê (cacho de coco),1,Brasil,2009,2009,216,Área colhida,1006,Hectares,103904
2728,Dendê (cacho de coco),1,Brasil,2009,2009,214,Quantidade produzida,1017,Toneladas,1122399
2728,Dendê (cacho de coco),1,Brasil,2009,2009,112,Rendimento médio da produção,33,Quilogramas por Hectare,10802
2728,Dendê (cacho de coco),1,Brasil,2009,2009,215,Valor da produção,40,Mil Reais,184719
2729,Erva-mate (folha verde),1,Brasil,2009,2009,2313,Área destinada à colheita,1006,Hectares,83628
2729,Erva-mate (folha verde),1,Brasil,2009,2009,216,Área colhida,1006,Hectares,70588
2729,Erva-mate (folha verde),1,Brasil,2009,2009,214,Quantidade produzida,1017,Toneladas,443126
2729,Erva-mate (folha verde),1,Brasil,2009,2009,112,Rendimento médio da produção,33,Quilogramas por Hectare,6277
2729,Erva-mate (folha verde),1,Brasil,2009,2009,215,Valor da produção,40,Mil Reais,156385
2730,Figo,1,Brasil,2009,2009,2313,Área destinada à colheita,1006,Hectares,3072
2730,Figo,1,Brasil,2009,2009,216,Área colhida,1006,Hectares,2886
2730,Figo,1,Brasil,2009,2009,214,Quantidade produzida,1017,Toneladas,24146
2730,Figo,1,Brasil,2009,2009,112,Rendimento médio da produção,33,Quilogramas por Hectare,8366
2730,Figo,1,Brasil,2009,2009,215,Valor da produção,40,Mil Reais,37692
2731,Goiaba,1,Brasil,2009,2009,2313,Área destinada à colheita,1006,Hectares,15048
2731,Goiaba,1,Brasil,2009,2009,216,Área colhida,1006,Hectares,14987
2731,Goiaba,1,Brasil,2009,2009,214,Quantidade produzida,1017,Toneladas,297377
2731,Goiaba,1,Brasil,2009,2009,112,Rendimento médio da produção,33,Quilogramas por Hectare,19842
2731,Goiaba,1,Brasil,2009,2009,215,Valor da produção,40,Mil Reais,213482
2732,Guaraná (semente),1,Brasil,2009,2009,2313,Área destinada à colheita,1006,Hectares,15278
2732,Guaraná (semente),1,Brasil,2009,2009,216,Área colhida,1006,Hectares,15271
2732,Guaraná (semente),1,Brasil,2009,2009,214,Quantidade produzida,1017,Toneladas,4604
2732,Guaraná (semente),1,Brasil,2009,2009,112,Rendimento médio da produção,33,Quilogramas por Hectare,301
2732,Guaraná (semente),1,Brasil,2009,2009,215,Valor da produção,40,Mil Reais,29516
2733,Laranja,1,Brasil,2009,2009,2313,Área destinada à colheita,1006,Hectares,802528
2733,Laranja,1,Brasil,2009,2009,216,Área colhida,1006,Hectares,787250
2733,Laranja,1,Brasil,2009,2009,214,Quantidade produzida,1017,Toneladas,17618450
2733,Laranja,1,Brasil,2009,2009,112,Rendimento médio da produção,33,Quilogramas por Hectare,22379
2733,Laranja,1,Brasil,2009,2009,215,Valor da produção,40,Mil Reais,4695049
2734,Limão,1,Brasil,2009,2009,2313,Área destinada à colheita,1006,Hectares,41388
2734,Limão,1,Brasil,2009,2009,216,Área colhida,1006,Hectares,41029
2734,Limão,1,Brasil,2009,2009,214,Quantidade produzida,1017,Toneladas,899821
2734,Limão,1,Brasil,2009,2009,112,Rendimento médio da produção,33,Quilogramas por Hectare,21931
2734,Limão,1,Brasil,2009,2009,215,Valor da produção,40,Mil Reais,377281
2735,Maçã,1,Brasil,2009,2009,2313,Área destinada à colheita,1006,Hectares,39081
2735,Maçã,1,Brasil,2009,2009,216,Área colhida,1006,Hectares,38205
2735,Maçã,1,Brasil,2009,2009,214,Quantidade produzida,1017,Toneladas,1222885
2735,Maçã,1,Brasil,2009,2009,112,Rendimento médio da produção,33,Quilogramas por Hectare,32008
2735,Maçã,1,Brasil,2009,2009,215,Valor da produção,40,Mil Reais,943761
2736,Mamão,1,Brasil,2009,2009,2313,Área destinada à colheita,1006,Hectares,34379
2736,Mamão,1,Brasil,2009,2009,216,Área colhida,1006,Hectares,34213
2736,Mamão,1,Brasil,2009,2009,214,Quantidade produzida,1017,Toneladas,1792594
2736,Mamão,1,Brasil,2009,2009,112,Rendimento médio da produção,33,Quilogramas por Hectare,52395
2736,Mamão,1,Brasil,2009,2009,215,Valor da produção,40,Mil Reais,1348294
2737,Manga,1,Brasil,2009,2009,2313,Área destinada à colheita,1006,Hectares,75416
2737,Manga,1,Brasil,2009,2009,216,Área colhida,1006,Hectares,75178
2737,Manga,1,Brasil,2009,2009,214,Quantidade produzida,1017,Toneladas,1197694
2737,Manga,1,Brasil,2009,2009,112,Rendimento médio da produção,33,Quilogramas por Hectare,15931
2737,Manga,1,Brasil,2009,2009,215,Valor da produção,40,Mil Reais,602125
2738,Maracujá,1,Brasil,2009,2009,2313,Área destinada à colheita,1006,Hectares,50853
2738,Maracujá,1,Brasil,2009,2009,216,Área colhida,1006,Hectares,50795
2738,Maracujá,1,Brasil,2009,2009,214,Quantidade produzida,1017,Toneladas,713515
2738,Maracujá,1,Brasil,2009,2009,112,Rendimento médio da produção,33,Quilogramas por Hectare,14046
2738,Maracujá,1,Brasil,2009,2009,215,Valor da produção,40,Mil Reais,668720
2739,Marmelo,1,Brasil,2009,2009,2313,Área destinada à colheita,1006,Hectares,211
2739,Marmelo,1,Brasil,2009,2009,216,Área colhida,1006,Hectares,211
2739,Marmelo,1,Brasil,2009,2009,214,Quantidade produzida,1017,Toneladas,975
2739,Marmelo,1,Brasil,2009,2009,112,Rendimento médio da produção,33,Quilogramas por Hectare,4620
2739,Marmelo,1,Brasil,2009,2009,215,Valor da produção,40,Mil Reais,1614
2740,Noz (fruto seco),1,Brasil,2009,2009,2313,Área destinada à colheita,1006,Hectares,2359
2740,Noz (fruto seco),1,Brasil,2009,2009,216,Área colhida,1006,Hectares,2192
2740,Noz (fruto seco),1,Brasil,2009,2009,214,Quantidade produzida,1017,Toneladas,4571
2740,Noz (fruto seco),1,Brasil,2009,2009,112,Rendimento médio da produção,33,Quilogramas por Hectare,2085
2740,Noz (fruto seco),1,Brasil,2009,2009,215,Valor da produção,40,Mil Reais,12007
90001,Palmito,1,Brasil,2009,2009,2313,Área destinada à colheita,1006,Hectares,16162
90001,Palmito,1,Brasil,2009,2009,216,Área colhida,1006,Hectares,13290
90001,Palmito,1,Brasil,2009,2009,214,Quantidade produzida,1017,Toneladas,70784
90001,Palmito,1,Brasil,2009,2009,112,Rendimento médio da produção,33,Quilogramas por Hectare,5326
90001,Palmito,1,Brasil,2009,2009,215,Valor da produção,40,Mil Reais,110588
2741,Pera,1,Brasil,2009,2009,2313,Área destinada à colheita,1006,Hectares,1404
2741,Pera,1,Brasil,2009,2009,216,Área colhida,1006,Hectares,1394
2741,Pera,1,Brasil,2009,2009,214,Quantidade produzida,1017,Toneladas,14856
2741,Pera,1,Brasil,2009,2009,112,Rendimento médio da produção,33,Quilogramas por Hectare,10657
2741,Pera,1,Brasil,2009,2009,215,Valor da produção,40,Mil Reais,18317
2742,Pêssego,1,Brasil,2009,2009,2313,Área destinada à colheita,1006,Hectares,19102
2742,Pêssego,1,Brasil,2009,2009,216,Área colhida,1006,Hectares,19043
2742,Pêssego,1,Brasil,2009,2009,214,Quantidade produzida,1017,Toneladas,216236
