D1C,D1N,D2C,D2N,D3C,D3N,D4C,D4N,MC,MN,V
2717,Abacate,1,Brasil,1996,1996,2313,Área destinada à colheita,1006,Hectares,13372
2717,Abacate,1,Brasil,1996,1996,216,Área colhida,1006,Hectares,13319
2717,Abacate,1,Brasil,1996,1996,214,Quantidade produzida,1017,Toneladas,322932
2717,Abacate,1,Brasil,1996,1996,112,Rendimento médio da produção,33,Quilogramas por Hectare,24245
2717,Abacate,1,Brasil,1996,1996,215,Valor da produção,40,Mil Reais,50650
2718,Algodão arbóreo (em caroço),1,Brasil,1996,1996,2313,Área destinada à colheita,1006,Hectares,17183
2718,Algodão arbóreo (em caroço),1,Brasil,1996,1996,216,Área colhida,1006,Hectares,16865
2718,Algodão arbóreo (em caroço),1,Brasil,1996,1996,214,Quantidade produzida,1017,Toneladas,2369
2718,Algodão arbóreo (em caroço),1,Brasil,1996,1996,112,Rendimento médio da produção,33,Quilogramas por Hectare,140
2718,Algodão arbóreo (em caroço),1,Brasil,1996,1996,215,Valor da produção,40,Mil Reais,1184
2719,Azeitona,1,Brasil,1996,1996,2313,Área destinada à colheita,1006,Hectares,43
2719,Azeitona,1,Brasil,1996,1996,216,Área colhida,1006,Hectares,43
2719,Azeitona,1,Brasil,1996,1996,214,Quantidade produzida,1017,Toneladas,63
2719,Azeitona,1,Brasil,1996,1996,112,Rendimento médio da produção,33,Quilogramas por Hectare,1465
2719,Azeitona,1,Brasil,1996,1996,215,Valor da produção,40,Mil Reais,95
2720,Banana (cacho),1,Brasil,1996,1996,2313,Área destinada à colheita,1006,Hectares,507610
2720,Banana (cacho),1,Brasil,1996,1996,216,Área colhida,1006,Hectares,496593
2720,Banana (cacho),1,Brasil,1996,1996,214,Quantidade produzida,1017,Toneladas,496171
2720,Banana (cacho),1,Brasil,1996,1996,112,Rendimento médio da produção,33,Quilogramas por Hectare,999
2720,Banana (cacho),1,Brasil,1996,1996,215,Valor da produção,40,Mil Reais,800021
2721,Borracha (látex coagulado),1,Brasil,1996,1996,2313,Área destinada à colheita,1006,Hectares,70078
2721,Borracha (látex coagulado),1,Brasil,1996,1996,216,Área colhida,1006,Hectares,68401
2721,Borracha (látex coagulado),1,Brasil,1996,1996,214,Quantidade produzida,1017,Toneladas,89202
2721,Borracha (látex coagulado),1,Brasil,1996,1996,112,Rendimento médio da produção,33,Quilogramas por Hectare,1304
2721,Borracha (látex coagulado),1,Brasil,1996,1996,215,Valor da produção,40,Mil Reais,78750
2722,Cacau (em amêndoa),1,Brasil,1996,1996,2313,Área destinada à colheita,1006,Hectares,667461
2722,Cacau (em amêndoa),1,Brasil,1996,1996,216,Área colhida,1006,Hectares,661923
2722,Cacau (em amêndoa),1,Brasil,1996,1996,214,Quantidade produzida,1017,Toneladas,256777
2722,Cacau (em amêndoa),1,Brasil,1996,1996,112,Rendimento médio da produção,33,Quilogramas por Hectare,387
2722,Cacau (em amêndoa),1,Brasil,1996,1996,215,Valor da produção,40,Mil Reais,263221
2723,Café (em grão) Total,1,Brasil,1996,1996,2313,Área destinada à colheita,1006,Hectares,1929894
2723,Café (em grão) Total,1,Brasil,1996,1996,216,Área colhida,1006,Hectares,1920253
2723,Café (em grão) Total,1,Brasil,1996,1996,214,Quantidade produzida,1017,Toneladas,2738391
2723,Café (em grão) Total,1,Brasil,1996,1996,112,Rendimento médio da produção,33,Quilogramas por Hectare,1426
2723,Café (em grão) Total,1,Brasil,1996,1996,215,Valor da produção,40,Mil Reais,2724482
31619,Café (em grão) Arábica,1,Brasil,1996,1996,2313,Área destinada à colheita,1006,Hectares,...
31619,Café (em grão) Arábica,1,Brasil,1996,1996,216,Área colhida,1006,Hectares,...
31619,Café (em grão) Arábica,1,Brasil,1996,1996,214,Quantidade produzida,1017,Toneladas,...
31619,Café (em grão) Arábica,1,Brasil,1996,1996,112,Rendimento médio da produção,33,Quilogramas por Hectare,...
31619,Café (em grão) Arábica,1,Brasil,1996,1996,215,Valor da produção,40,Mil Reais,...
31620,Café (em grão) Canephora,1,Brasil,1996,1996,2313,Área destinada à colheita,1006,Hectares,...
31620,Café (em grão) Canephora,1,Brasil,1996,1996,216,Área colhida,1006,Hectares,...
31620,Café (em grão) Canephora,1,Brasil,1996,1996,214,Quantidade produzida,1017,Toneladas,...
31620,Café (em grão) Canephora,1,Brasil,1996,1996,112,Rendimento médio da produção,33,Quilogramas por Hectare,...
31620,Café (em grão) Canephora,1,Brasil,1996,1996,215,Valor da produção,40,Mil Reais,...
2724,Caqui,1,Brasil,1996,1996,2313,Área destinada à colheita,1006,Hectares,5236
2724,Caqui,1,Brasil,1996,1996,216,Área colhida,1006,Hectares,5155
2724,Caqui,1,Brasil,1996,1996,214,Quantidade produzida,1017,Toneladas,525475
2724,Caqui,1,Brasil,1996,1996,112,Rendimento médio da produção,33,Quilogramas por Hectare,101935
2724,Caqui,1,Brasil,1996,1996,215,Valor da produção,40,Mil Reais,58046
2725,Castanha de caju,1,Brasil,1996,1996,2313,Área destinada à colheita,1006,Hectares,547830
2725,Castanha de caju,1,Brasil,1996,1996,216,Área colhida,1006,Hectares,547720
2725,Castanha de caju,1,Brasil,1996,1996,214,Quantidade produzida,1017,Toneladas,167211
2725,Castanha de caju,1,Brasil,1996,1996,112,Rendimento médio da produção,33,Quilogramas por Hectare,305
2725,Castanha de caju,1,Brasil,1996,1996,215,Valor da produção,40,Mil Reais,63499
2726,Chá-da-índia (folha verde),1,Brasil,1996,1996,2313,Área destinada à colheita,1006,Hectares,3303
2726,Chá-da-índia (folha verde),1,Brasil,1996,1996,216,Área colhida,1006,Hectares,3303
2726,Chá-da-índia (folha verde),1,Brasil,1996,1996,214,Quantidade produzida,1017,Toneladas,26585
