D1C,D1N,D2C,D2N,D3C,D3N,D4C,D4N,MC,MN,V
2717,Abacate,1,Brasil,2005,2005,2313,Área destinada à colheita,1006,Hectares,11605
2717,Abacate,1,Brasil,2005,2005,216,Área colhida,1006,Hectares,11548
2717,Abacate,1,Brasil,2005,2005,214,Quantidade produzida,1017,Toneladas,169335
2717,Abacate,1,Brasil,2005,2005,112,Rendimento médio da produção,33,Quilogramas por Hectare,14663
2717,Abacate,1,Brasil,2005,2005,215,Valor da produção,40,Mil Reais,76933
2718,Algodão arbóreo (em caroço),1,Brasil,2005,2005,2313,Área destinada à colheita,1006,Hectares,5536
2718,Algodão arbóreo (em caroço),1,Brasil,2005,2005,216,Área colhida,1006,Hectares,5013
2718,Algodão arbóreo (em caroço),1,Brasil,2005,2005,214,Quantidade produzida,1017,Toneladas,2123
2718,Algodão arbóreo (em caroço),1,Brasil,2005,2005,112,Rendimento médio da produção,33,Quilogramas por Hectare,423
2718,Algodão arbóreo (em caroço),1,Brasil,2005,2005,215,Valor da produção,40,Mil Reais,2252
2719,Azeitona,1,Brasil,2005,2005,2313,Área destinada à colheita,1006,Hectares,-
2719,Azeitona,1,Brasil,2005,2005,216,Área colhida,1006,Hectares,-
2719,Azeitona,1,Brasil,2005,2005,214,Quantidade produzida,1017,Toneladas,-
2719,Azeitona,1,Brasil,2005,2005,112,Rendimento médio da produção,33,Quilogramas por Hectare,-
2719,Azeitona,1,Brasil,2005,2005,215,Valor da produção,40,Mil Reais,-
2720,Banana (cacho),1,Brasil,2005,2005,2313,Área destinada à colheita,1006,Hectares,496287
2720,Banana (cacho),1,Brasil,2005,2005,216,Área colhida,1006,Hectares,491180
2720,Banana (cacho),1,Brasil,2005,2005,214,Quantidade produzida,1017,Toneladas,6703400
2720,Banana (cacho),1,Brasil,2005,2005,112,Rendimento médio da produção,33,Quilogramas por Hectare,13647
2720,Banana (cacho),1,Brasil,2005,2005,215,Valor da produção,40,Mil Reais,2355943
2721,Borracha (látex coagulado),1,Brasil,2005,2005,2313,Área destinada à colheita,1006,Hectares,115595
2721,Borracha (látex coagulado),1,Brasil,2005,2005,216,Área colhida,1006,Hectares,112396
2721,Borracha (látex coagulado),1,Brasil,2005,2005,214,Quantidade produzida,1017,Toneladas,172847
2721,Borracha (látex coagulado),1,Brasil,2005,2005,112,Rendimento médio da produção,33,Quilogramas por Hectare,1537
2721,Borracha (látex coagulado),1,Brasil,2005,2005,215,Valor da produção,40,Mil Reais,276495
2722,Cacau (em amêndoa),1,Brasil,2005,2005,2313,Área destinada à colheita,1006,Hectares,675098
2722,Cacau (em amêndoa),1,Brasil,2005,2005,216,Área colhida,1006,Hectares,625384
2722,Cacau (em amêndoa),1,Brasil,2005,2005,214,Quantidade produzida,1017,Toneladas,208620
2722,Cacau (em amêndoa),1,Brasil,2005,2005,112,Rendimento médio da produção,33,Quilogramas por Hectare,333
2722,Cacau (em amêndoa),1,Brasil,2005,2005,215,Valor da produção,40,Mil Reais,689435
2723,Café (em grão) Total,1,Brasil,2005,2005,2313,Área destinada à colheita,1006,Hectares,2333303
2723,Café (em grão) Total,1,Brasil,2005,2005,216,Área colhida,1006,Hectares,2325920
2723,Café (em grão) Total,1,Brasil,2005,2005,214,Quantidade produzida,1017,Toneladas,2140169
