D1C,D1N,D2C,D2N,D3C,D3N,D4C,D4N,MC,MN,V
2717,Abacate,1,Norte,2014,2014,2313,Área destinada à colheita,1006,Hectares,177
2717,Abacate,1,Norte,2014,2014,216,Área colhida,1006,Hectares,177
2717,Abacate,1,Norte,2014,2014,214,Quantidade produzida,1017,Toneladas,1447
2717,Abacate,1,Norte,2014,2014,112,Rendimento médio da produção,33,Quilogramas por Hectare,8175
2717,Abacate,1,Norte,2014,2014,215,Valor da produção,40,Mil Reais,1751
2717,Abacate,2,Nordeste,2014,2014,2313,Área destinada à colheita,1006,Hectares,816
2717,Abacate,2,Nordeste,2014,2014,216,Área colhida,1006,Hectares,816
2717,Abacate,2,Nordeste,2014,2014,214,Quantidade produzida,1017,Toneladas,6340
2717,Abacate,2,Nordeste,2014,2014,112,Rendimento médio da produção,33,Quilogramas por Hectare,7770
2717,Abacate,2,Nordeste,2014,2014,215,Valor da produção,40,Mil Reais,6429
2717,Abacate,3,Sudeste,2014,2014,2313,Área destinada à colheita,1006,Hectares,7033
2717,Abacate,3,Sudeste,2014,2014,216,Área colhida,1006,Hectares,6930
2717,Abacate,3,Sudeste,2014,2014,214,Quantidade produzida,1017,Toneladas,124427
2717,Abacate,3,Sudeste,2014,2014,112,Rendimento médio da produção,33,Quilogramas por Hectare,17955
2717,Abacate,3,Sudeste,2014,2014,215,Valor da produção,40,Mil Reais,120459
2717,Abacate,4,Sul,2014,2014,2313,Área destinada à colheita,1006,Hectares,1378
2717,Abacate,4,Sul,2014,2014,216,Área colhida,1006,Hectares,1367
2717,Abacate,4,Sul,2014,2014,214,Quantidade produzida,1017,Toneladas,21091
2717,Abacate,4,Sul,2014,2014,112,Rendimento médio da produção,33,Quilogramas por Hectare,15429
2717,Abacate,4,Sul,2014,2014,215,Valor da produção,40,Mil Reais,26323
2717,Abacate,5,Centro-Oeste,2014,2014,2313,Área destinada à colheita,1006,Hectares,160
2717,Abacate,5,Centro-Oeste,2014,2014,216,Área colhida,1006,Hectares,160
2717,Abacate,5,Centro-Oeste,2014,2014,214,Quantidade produzida,1017,Toneladas,3394
2717,Abacate,5,Centro-Oeste,2014,2014,112,Rendimento médio da produção,33,Quilogramas por Hectare,21213
2717,Abacate,5,Centro-Oeste,2014,2014,215,Valor da produção,40,Mil Reais,4147
2718,Algodão arbóreo (em caroço),1,Norte,2014,2014,2313,Área destinada à colheita,1006,Hectares,-
2718,Algodão arbóreo (em caroço),1,Norte,2014,2014,216,Área colhida,1006,Hectares,-
2718,Algodão arbóreo (em caroço),1,Norte,2014,2014,214,Quantidade produzida,1017,Toneladas,-
2718,Algodão arbóreo (em caroço),1,Norte,2014,2014,112,Rendimento médio da produção,33,Quilogramas por Hectare,-
2718,Algodão arbóreo (em caroço),1,Norte,2014,2014,215,Valor da produção,40,Mil Reais,-
2718,Algodão arbóreo (em caroço),2,Nordeste,2014,2014,2313,Área destinada à colheita,1006,Hectares,-
2718,Algodão arbóreo (em caroço),2,Nordeste,2014,2014,216,Área colhida,1006,Hectares,-
2718,Algodão arbóreo (em caroço),2,Nordeste,2014,2014,214,Quantidade produzida,1017,Toneladas,-
2718,Algodão arbóreo (em caroço),2,Nordeste,2014,2014,112,Rendimento médio da produção,33,Quilogramas por Hectare,-
2718,Algodão arbóreo (em caroço),2,Nordeste,2014,2014,215,Valor da produção,40,Mil Reais,-
2718,Algodão arbóreo (em caroço),3,Sudeste,2014,2014,2313,Área destinada à colheita,1006,Hectares,-
2718,Algodão arbóreo (em caroço),3,Sudeste,2014,2014,216,Área colhida,1006,Hectares,-
2718,Algodão arbóreo (em caroço),3,Sudeste,2014,2014,214,Quantidade produzida,1017,Toneladas,-
2718,Algodão arbóreo (em caroço),3,Sudeste,2014,2014,112,Rendimento médio da produção,33,Quilogramas por Hectare,-
2718,Algodão arbóreo (em caroço),3,Sudeste,2014,2014,215,Valor da produção,40,Mil Reais,-
2718,Algodão arbóreo (em caroço),4,Sul,2014,2014,2313,Área destinada à colheita,1006,Hectares,-
2718,Algodão arbóreo (em caroço),4,Sul,2014,2014,216,Área colhida,1006,Hectares,-
2718,Algodão arbóreo (em caroço),4,Sul,2014,2014,214,Quantidade produzida,1017,Toneladas,-
2718,Algodão arbóreo (em caroço),4,Sul,2014,2014,112,Rendimento médio da produção,33,Quilogramas por Hectare,-
2718,Algodão arbóreo (em caroço),4,Sul,2014,2014,215,Valor da produção,40,Mil Reais,-
2718,Algodão arbóreo (em caroço),5,Centro-Oeste,2014,2014,2313,Área destinada à colheita,1006,Hectares,-
2718,Algodão arbóreo (em caroço),5,Centro-Oeste,2014,2014,216,Área colhida,1006,Hectares,-
2718,Algodão arbóreo (em caroço),5,Centro-Oeste,2014,2014,214,Quantidade produzida,1017,Toneladas,-
2718,Algodão arbóreo (em caroço),5,Centro-Oeste,2014,2014,112,Rendimento médio da produção,33,Quilogramas por Hectare,-
2718,Algodão arbóreo (em caroço),5,Centro-Oeste,2014,2014,215,Valor da produção,40,Mil Reais,-
2719,Azeitona,1,Norte,2014,2014,2313,Área destinada à colheita,1006,Hectares,-
2719,Azeitona,1,Norte,2014,2014,216,Área colhida,1006,Hectares,-
2719,Azeitona,1,Norte,2014,2014,214,Quantidade produzida,1017,Toneladas,-
2719,Azeitona,1,Norte,2014,2014,112,Rendimento médio da produção,33,Quilogramas por Hectare,-
2719,Azeitona,1,Norte,2014,2014,215,Valor da produção,40,Mil Reais,-
2719,Azeitona,2,Nordeste,2014,2014,2313,Área destinada à colheita,1006,Hectares,-
2719,Azeitona,2,Nordeste,2014,2014,216,Área colhida,1006,Hectares,-
2719,Azeitona,2,Nordeste,2014,2014,214,Quantidade produzida,1017,Toneladas,-
2719,Azeitona,2,Nordeste,2014,2014,112,Rendimento médio da produção,33,Quilogramas por Hectare,-
2719,Azeitona,2,Nordeste,2014,2014,215,Valor da produção,40,Mil Reais,-
2719,Azeitona,3,Sudeste,2014,2014,2313,Área destinada à colheita,1006,Hectares,97
2719,Azeitona,3,Sudeste,2014,2014,216,Área colhida,1006,Hectares,97
2719,Azeitona,3,Sudeste,2014,2014,214,Quantidade produzida,1017,Toneladas,219
2719,Azeitona,3,Sudeste,2014,2014,112,Rendimento médio da produção,33,Quilogramas por Hectare,2258
2719,Azeitona,3,Sudeste,2014,2014,215,Valor da produção,40,Mil Reais,631
2719,Azeitona,4,Sul,2014,2014,2313,Área destinada à colheita,1006,Hectares,144
2719,Azeitona,4,Sul,2014,2014,216,Área colhida,1006,Hectares,144
2719,Azeitona,4,Sul,2014,2014,214,Quantidade produzida,1017,Toneladas,293
2719,Azeitona,4,Sul,2014,2014,112,Rendimento médio da produção,33,Quilogramas por Hectare,2035
2719,Azeitona,4,Sul,2014,2014,215,Valor da produção,40,Mil Reais,476
2719,Azeitona,5,Centro-Oeste,2014,2014,2313,Área destinada à colheita,1006,Hectares,-
2719,Azeitona,5,Centro-Oeste,2014,2014,216,Área colhida,1006,Hectares,-
2719,Azeitona,5,Centro-Oeste,2014,2014,214,Quantidade produzida,1017,Toneladas,-
2719,Azeitona,5,Centro-Oeste,2014,2014,112,Rendimento médio da produção,33,Quilogramas por Hectare,-
2719,Azeitona,5,Centro-Oeste,2014,2014,215,Valor da produção,40,Mil Reais,-
2720,Banana (cacho),1,Norte,2014,2014,2313,Área destinada à colheita,1006,Hectares,84115
2720,Banana (cacho),1,Norte,2014,2014,216,Área colhida,1006,Hectares,81015
2720,Banana (cacho),1,Norte,2014,2014,214,Quantidade produzida,1017,Toneladas,964209
2720,Banana (cacho),1,Norte,2014,2014,112,Rendimento médio da produção,33,Quilogramas por Hectare,11902
2720,Banana (cacho),1,Norte,2014,2014,215,Valor da produção,40,Mil Reais,913549
2720,Banana (cacho),2,Nordeste,2014,2014,2313,Área destinada à colheita,1006,Hectares,192674
2720,Banana (cacho),2,Nordeste,2014,2014,216,Área colhida,1006,Hectares,191941
2720,Banana (cacho),2,Nordeste,2014,2014,214,Quantidade produzida,1017,Toneladas,2460708
2720,Banana (cacho),2,Nordeste,2014,2014,112,Rendimento médio da produção,33,Quilogramas por Hectare,12820
2720,Banana (cacho),2,Nordeste,2014,2014,215,Valor da produção,40,Mil Reais,1813927
2720,Banana (cacho),3,Sudeste,2014,2014,2313,Área destinada à colheita,1006,Hectares,135769
2720,Banana (cacho),3,Sudeste,2014,2014,216,Área colhida,1006,Hectares,135625
2720,Banana (cacho),3,Sudeste,2014,2014,214,Quantidade produzida,1017,Toneladas,2193857
2720,Banana (cacho),3,Sudeste,2014,2014,112,Rendimento médio da produção,33,Quilogramas por Hectare,16176
2720,Banana (cacho),3,Sudeste,2014,2014,215,Valor da produção,40,Mil Reais,1955108
2720,Banana (cacho),4,Sul,2014,2014,2313,Área destinada à colheita,1006,Hectares,50023
2720,Banana (cacho),4,Sul,2014,2014,216,Área colhida,1006,Hectares,49992
2720,Banana (cacho),4,Sul,2014,2014,214,Quantidade produzida,1017,Toneladas,1046883
2720,Banana (cacho),4,Sul,2014,2014,112,Rendimento médio da produção,33,Quilogramas por Hectare,20941
2720,Banana (cacho),4,Sul,2014,2014,215,Valor da produção,40,Mil Reais,603149
2720,Banana (cacho),5,Centro-Oeste,2014,2014,2313,Área destinada à colheita,1006,Hectares,20192
2720,Banana (cacho),5,Centro-Oeste,2014,2014,216,Área colhida,1006,Hectares,20192
2720,Banana (cacho),5,Centro-Oeste,2014,2014,214,Quantidade produzida,1017,Toneladas,288090
2720,Banana (cacho),5,Centro-Oeste,2014,2014,112,Rendimento médio da produção,33,Quilogramas por Hectare,14268
2720,Banana (cacho),5,Centro-Oeste,2014,2014,215,Valor da produção,40,Mil Reais,293718
2721,Borracha (látex coagulado),1,Norte,2014,2014,2313,Área destinada à colheita,1006,Hectares,2478
2721,Borracha (látex coagulado),1,Norte,2014,2014,216,Área colhida,1006,Hectares,2233
2721,Borracha (látex coagulado),1,Norte,2014,2014,214,Quantidade produzida,1017,Toneladas,2768
2721,Borracha (látex coagulado),1,Norte,2014,2014,112,Rendimento médio da produção,33,Quilogramas por Hectare,1240
2721,Borracha (látex coagulado),1,Norte,2014,2014,215,Valor da produção,40,Mil Reais,9110
2721,Borracha (látex coagulado),2,Nordeste,2014,2014,2313,Área destinada à colheita,1006,Hectares,35785
2721,Borracha (látex coagulado),2,Nordeste,2014,2014,216,Área colhida,1006,Hectares,35773
2721,Borracha (látex coagulado),2,Nordeste,2014,2014,214,Quantidade produzida,1017,Toneladas,51402
2721,Borracha (látex coagulado),2,Nordeste,2014,2014,112,Rendimento médio da produção,33,Quilogramas por Hectare,1437
2721,Borracha (látex coagulado),2,Nordeste,2014,2014,215,Valor da produção,40,Mil Reais,118826
2721,Borracha (látex coagulado),3,Sudeste,2014,2014,2313,Área destinada à colheita,1006,Hectares,80064
2721,Borracha (látex coagulado),3,Sudeste,2014,2014,216,Área colhida,1006,Hectares,79944
2721,Borracha (látex coagulado),3,Sudeste,2014,2014,214,Quantidade produzida,1017,Toneladas,219893
2721,Borracha (látex coagulado),3,Sudeste,2014,2014,112,Rendimento médio da produção,33,Quilogramas por Hectare,2751
2721,Borracha (látex coagulado),3,Sudeste,2014,2014,215,Valor da produção,40,Mil Reais,444892
2721,Borracha (látex coagulado),4,Sul,2014,2014,2313,Área destinada à colheita,1006,Hectares,658
2721,Borracha (látex coagulado),4,Sul,2014,2014,216,Área colhida,1006,Hectares,657
2721,Borracha (látex coagulado),4,Sul,2014,2014,214,Quantidade produzida,1017,Toneladas,1400
2721,Borracha (látex coagulado),4,Sul,2014,2014,112,Rendimento médio da produção,33,Quilogramas por Hectare,2131
2721,Borracha (látex coagulado),4,Sul,2014,2014,215,Valor da produção,40,Mil Reais,3709
2721,Borracha (látex coagulado),5,Centro-Oeste,2014,2014,2313,Área destinada à colheita,1006,Hectares,46151
2721,Borracha (látex coagulado),5,Centro-Oeste,2014,2014,216,Área colhida,1006,Hectares,27945
2721,Borracha (látex coagulado),5,Centro-Oeste,2014,2014,214,Quantidade produzida,1017,Toneladas,45186
2721,Borracha (látex coagulado),5,Centro-Oeste,2014,2014,112,Rendimento médio da produção,33,Quilogramas por Hectare,1617
2721,Borracha (látex coagulado),5,Centro-Oeste,2014,2014,215,Valor da produção,40,Mil Reais,120868
2722,Cacau (em amêndoa),1,Norte,2014,2014,2313,Área destinada à colheita,1006,Hectares,136234
2722,Cacau (em amêndoa),1,Norte,2014,2014,216,Área colhida,1006,Hectares,133550
2722,Cacau (em amêndoa),1,Norte,2014,2014,214,Quantidade produzida,1017,Toneladas,107695
2722,Cacau (em amêndoa),1,Norte,2014,2014,112,Rendimento médio da produção,33,Quilogramas por Hectare,806
2722,Cacau (em amêndoa),1,Norte,2014,2014,215,Valor da produção,40,Mil Reais,686382
2722,Cacau (em amêndoa),2,Nordeste,2014,2014,2313,Área destinada à colheita,1006,Hectares,547722
2722,Cacau (em amêndoa),2,Nordeste,2014,2014,216,Área colhida,1006,Hectares,547422
2722,Cacau (em amêndoa),2,Nordeste,2014,2014,214,Quantidade produzida,1017,Toneladas,161096
2722,Cacau (em amêndoa),2,Nordeste,2014,2014,112,Rendimento médio da produção,33,Quilogramas por Hectare,294
2722,Cacau (em amêndoa),2,Nordeste,2014,2014,215,Valor da produção,40,Mil Reais,873545
2722,Cacau (em amêndoa),3,Sudeste,2014,2014,2313,Área destinada à colheita,1006,Hectares,22262
2722,Cacau (em amêndoa),3,Sudeste,2014,2014,216,Área colhida,1006,Hectares,22262
2722,Cacau (em amêndoa),3,Sudeste,2014,2014,214,Quantidade produzida,1017,Toneladas,4420
2722,Cacau (em amêndoa),3,Sudeste,2014,2014,112,Rendimento médio da produção,33,Quilogramas por Hectare,199
2722,Cacau (em amêndoa),3,Sudeste,2014,2014,215,Valor da produção,40,Mil Reais,27287
2722,Cacau (em amêndoa),4,Sul,2014,2014,2313,Área destinada à colheita,1006,Hectares,-
2722,Cacau (em amêndoa),4,Sul,2014,2014,216,Área colhida,1006,Hectares,-
2722,Cacau (em amêndoa),4,Sul,2014,2014,214,Quantidade produzida,1017,Toneladas,-
2722,Cacau (em amêndoa),4,Sul,2014,2014,112,Rendimento médio da produção,33,Quilogramas por Hectare,-
2722,Cacau (em amêndoa),4,Sul,2014,2014,215,Valor da produção,40,Mil Reais,-
2722,Cacau (em amêndoa),5,Centro-Oeste,2014,2014,2313,Área destinada à colheita,1006,Hectares,888
2722,Cacau (em amêndoa),5,Centro-Oeste,2014,2014,216,Área colhida,1006,Hectares,888
2722,Cacau (em amêndoa),5,Centro-Oeste,2014,2014,214,Quantidade produzida,1017,Toneladas,582
2722,Cacau (em amêndoa),5,Centro-Oeste,2014,2014,112,Rendimento médio da produção,33,Quilogramas por Hectare,655
2722,Cacau (em amêndoa),5,Centro-Oeste,2014,2014,215,Valor da produção,40,Mil Reais,2321
2723,Café (em grão) Total,1,Norte,2014,2014,2313,Área destinada à colheita,1006,Hectares,92310
2723,Café (em grão) Total,1,Norte,2014,2014,216,Área colhida,1006,Hectares,92009
2723,Café (em grão) Total,1,Norte,2014,2014,214,Quantidade produzida,1017,Toneladas,90190
2723,Café (em grão) Total,1,Norte,2014,2014,112,Rendimento médio da produção,33,Quilogramas por Hectare,980
2723,Café (em grão) Total,1,Norte,2014,2014,215,Valor da produção,40,Mil Reais,304328
2723,Café (em grão) Total,2,Nordeste,2014,2014,2313,Área destinada à colheita,1006,Hectares,170957
2723,Café (em grão) Total,2,Nordeste,2014,2014,216,Área colhida,1006,Hectares,169829
2723,Café (em grão) Total,2,Nordeste,2014,2014,214,Quantidade produzida,1017,Toneladas,204087
2723,Café (em grão) Total,2,Nordeste,2014,2014,112,Rendimento médio da produção,33,Quilogramas por Hectare,1202
2723,Café (em grão) Total,2,Nordeste,2014,2014,215,Valor da produção,40,Mil Reais,931308
2723,Café (em grão) Total,3,Sudeste,2014,2014,2313,Área destinada à colheita,1006,Hectares,1673165
2723,Café (em grão) Total,3,Sudeste,2014,2014,216,Área colhida,1006,Hectares,1672778
2723,Café (em grão) Total,3,Sudeste,2014,2014,214,Quantidade produzida,1017,Toneladas,2445657
2723,Café (em grão) Total,3,Sudeste,2014,2014,112,Rendimento médio da produção,33,Quilogramas por Hectare,1462
2723,Café (em grão) Total,3,Sudeste,2014,2014,215,Valor da produção,40,Mil Reais,14125395
2723,Café (em grão) Total,4,Sul,2014,2014,2313,Área destinada à colheita,1006,Hectares,38333
2723,Café (em grão) Total,4,Sul,2014,2014,216,Área colhida,1006,Hectares,35825
2723,Café (em grão) Total,4,Sul,2014,2014,214,Quantidade produzida,1017,Toneladas,36671
2723,Café (em grão) Total,4,Sul,2014,2014,112,Rendimento médio da produção,33,Quilogramas por Hectare,1024
2723,Café (em grão) Total,4,Sul,2014,2014,215,Valor da produção,40,Mil Reais,213147
2723,Café (em grão) Total,5,Centro-Oeste,2014,2014,2313,Área destinada à colheita,1006,Hectares,27386
2723,Café (em grão) Total,5,Centro-Oeste,2014,2014,216,Área colhida,1006,Hectares,27386
2723,Café (em grão) Total,5,Centro-Oeste,2014,2014,214,Quantidade produzida,1017,Toneladas,27465
2723,Café (em grão) Total,5,Centro-Oeste,2014,2014,112,Rendimento médio da produção,33,Quilogramas por Hectare,1003
2723,Café (em grão) Total,5,Centro-Oeste,2014,2014,215,Valor da produção,40,Mil Reais,109682
31619,Café (em grão) Arábica,1,Norte,2014,2014,2313,Área destinada à colheita,1006,Hectares,73
31619,Café (em grão) Arábica,1,Norte,2014,2014,216,Área colhida,1006,Hectares,73
31619,Café (em grão) Arábica,1,Norte,2014,2014,214,Quantidade produzida,1017,Toneladas,101
31619,Café (em grão) Arábica,1,Norte,2014,2014,112,Rendimento médio da produção,33,Quilogramas por Hectare,1384
31619,Café (em grão) Arábica,1,Norte,2014,2014,215,Valor da produção,40,Mil Reais,231
31619,Café (em grão) Arábica,2,Nordeste,2014,2014,2313,Área destinada à colheita,1006,Hectares,134448
31619,Café (em grão) Arábica,2,Nordeste,2014,2014,216,Área colhida,1006,Hectares,133321
31619,Café (em grão) Arábica,2,Nordeste,2014,2014,214,Quantidade produzida,1017,Toneladas,126233
31619,Café (em grão) Arábica,2,Nordeste,2014,2014,112,Rendimento médio da produção,33,Quilogramas por Hectare,947
31619,Café (em grão) Arábica,2,Nordeste,2014,2014,215,Valor da produção,40,Mil Reais,628759
31619,Café (em grão) Arábica,3,Sudeste,2014,2014,2313,Área destinada à colheita,1006,Hectares,1369847
31619,Café (em grão) Arábica,3,Sudeste,2014,2014,216,Área colhida,1006,Hectares,1369460
31619,Café (em grão) Arábica,3,Sudeste,2014,2014,214,Quantidade produzida,1017,Toneladas,1831535
31619,Café (em grão) Arábica,3,Sudeste,2014,2014,112,Rendimento médio da produção,33,Quilogramas por Hectare,1337
31619,Café (em grão) Arábica,3,Sudeste,2014,2014,215,Valor da produção,40,Mil Reais,11804359
31619,Café (em grão) Arábica,4,Sul,2014,2014,2313,Área destinada à colheita,1006,Hectares,38333
31619,Café (em grão) Arábica,4,Sul,2014,2014,216,Área colhida,1006,Hectares,35825
31619,Café (em grão) Arábica,4,Sul,2014,2014,214,Quantidade produzida,1017,Toneladas,36671
31619,Café (em grão) Arábica,4,Sul,2014,2014,112,Rendimento médio da produção,33,Quilogramas por Hectare,1024
31619,Café (em grão) Arábica,4,Sul,2014,2014,215,Valor da produção,40,Mil Reais,213147
31619,Café (em grão) Arábica,5,Centro-Oeste,2014,2014,2313,Área destinada à colheita,1006,Hectares,7411
31619,Café (em grão) Arábica,5,Centro-Oeste,2014,2014,216,Área colhida,1006,Hectares,7411
31619,Café (em grão) Arábica,5,Centro-Oeste,2014,2014,214,Quantidade produzida,1017,Toneladas,17632
31619,Café (em grão) Arábica,5,Centro-Oeste,2014,2014,112,Rendimento médio da produção,33,Quilogramas por Hectare,2379
31619,Café (em grão) Arábica,5,Centro-Oeste,2014,2014,215,Valor da produção,40,Mil Reais,79493
31620,Café (em grão) Canephora,1,Norte,2014,2014,2313,Área destinada à colheita,1006,Hectares,92237
31620,Café (em grão) Canephora,1,Norte,2014,2014,216,Área colhida,1006,Hectares,91936
31620,Café (em grão) Canephora,1,Norte,2014,2014,214,Quantidade produzida,1017,Toneladas,90089
31620,Café (em grão) Canephora,1,Norte,2014,2014,112,Rendimento médio da produção,33,Quilogramas por Hectare,980
31620,Café (em grão) Canephora,1,Norte,2014,2014,215,Valor da produção,40,Mil Reais,304096
31620,Café (em grão) Canephora,2,Nordeste,2014,2014,2313,Área destinada à colheita,1006,Hectares,36509
31620,Café (em grão) Canephora,2,Nordeste,2014,2014,216,Área colhida,1006,Hectares,36508
31620,Café (em grão) Canephora,2,Nordeste,2014,2014,214,Quantidade produzida,1017,Toneladas,77854
31620,Café (em grão) Canephora,2,Nordeste,2014,2014,112,Rendimento médio da produção,33,Quilogramas por Hectare,2133
31620,Café (em grão) Canephora,2,Nordeste,2014,2014,215,Valor da produção,40,Mil Reais,302548
31620,Café (em grão) Canephora,3,Sudeste,2014,2014,2313,Área destinada à colheita,1006,Hectares,303318
31620,Café (em grão) Canephora,3,Sudeste,2014,2014,216,Área colhida,1006,Hectares,303318
31620,Café (em grão) Canephora,3,Sudeste,2014,2014,214,Quantidade produzida,1017,Toneladas,614122
31620,Café (em grão) Canephora,3,Sudeste,2014,2014,112,Rendimento médio da produção,33,Quilogramas por Hectare,2025
31620,Café (em grão) Canephora,3,Sudeste,2014,2014,215,Valor da produção,40,Mil Reais,2321036
31620,Café (em grão) Canephora,4,Sul,2014,2014,2313,Área destinada à colheita,1006,Hectares,-
31620,Café (em grão) Canephora,4,Sul,2014,2014,216,Área colhida,1006,Hectares,-
31620,Café (em grão) Canephora,4,Sul,2014,2014,214,Quantidade produzida,1017,Toneladas,-
31620,Café (em grão) Canephora,4,Sul,2014,2014,112,Rendimento médio da produção,33,Quilogramas por Hectare,-
31620,Café (em grão) Canephora,4,Sul,2014,2014,215,Valor da produção,40,Mil Reais,-
31620,Café (em grão) Canephora,5,Centro-Oeste,2014,2014,2313,Área destinada à colheita,1006,Hectares,19975
31620,Café (em grão) Canephora,5,Centro-Oeste,2014,2014,216,Área colhida,1006,Hectares,19975
31620,Café (em grão) Canephora,5,Centro-Oeste,2014,2014,214,Quantidade produzida,1017,Toneladas,9833
31620,Café (em grão) Canephora,5,Centro-Oeste,2014,2014,112,Rendimento médio da produção,33,Quilogramas por Hectare,492
31620,Café (em grão) Canephora,5,Centro-Oeste,2014,2014,215,Valor da produção,40,Mil Reais,30190
2724,Caqui,1,Norte,2014,2014,2313,Área destinada à colheita,1006,Hectares,-
2724,Caqui,1,Norte,2014,2014,216,Área colhida,1006,Hectares,-
2724,Caqui,1,Norte,2014,2014,214,Quantidade produzida,1017,Toneladas,-
2724,Caqui,1,Norte,2014,2014,112,Rendimento médio da produção,33,Quilogramas por Hectare,-
2724,Caqui,1,Norte,2014,2014,215,Valor da produção,40,Mil Reais,-
2724,Caqui,2,Nordeste,2014,2014,2313,Área destinada à colheita,1006,Hectares,8
2724,Caqui,2,Nordeste,2014,2014,216,Área colhida,1006,Hectares,8
2724,Caqui,2,Nordeste,2014,2014,214,Quantidade produzida,1017,Toneladas,32
2724,Caqui,2,Nordeste,2014,2014,112,Rendimento médio da produção,33,Quilogramas por Hectare,4000
2724,Caqui,2,Nordeste,2014,2014,215,Valor da produção,40,Mil Reais,29
2724,Caqui,3,Sudeste,2014,2014,2313,Área destinada à colheita,1006,Hectares,5080
2724,Caqui,3,Sudeste,2014,2014,216,Área colhida,1006,Hectares,5058
2724,Caqui,3,Sudeste,2014,2014,214,Quantidade produzida,1017,Toneladas,134725
2724,Caqui,3,Sudeste,2014,2014,112,Rendimento médio da produção,33,Quilogramas por Hectare,26636
2724,Caqui,3,Sudeste,2014,2014,215,Valor da produção,40,Mil Reais,190355
2724,Caqui,4,Sul,2014,2014,2313,Área destinada à colheita,1006,Hectares,3271
2724,Caqui,4,Sul,2014,2014,216,Área colhida,1006,Hectares,3257
2724,Caqui,4,Sul,2014,2014,214,Quantidade produzida,1017,Toneladas,47533
2724,Caqui,4,Sul,2014,2014,112,Rendimento médio da produção,33,Quilogramas por Hectare,14594
2724,Caqui,4,Sul,2014,2014,215,Valor da produção,40,Mil Reais,60743
2724,Caqui,5,Centro-Oeste,2014,2014,2313,Área destinada à colheita,1006,Hectares,-
2724,Caqui,5,Centro-Oeste,2014,2014,216,Área colhida,1006,Hectares,-
2724,Caqui,5,Centro-Oeste,2014,2014,214,Quantidade produzida,1017,Toneladas,-
2724,Caqui,5,Centro-Oeste,2014,2014,112,Rendimento médio da produção,33,Quilogramas por Hectare,-
2724,Caqui,5,Centro-Oeste,2014,2014,215,Valor da produção,40,Mil Reais,-
2725,Castanha de caju,1,Norte,2014,2014,2313,Área destinada à colheita,1006,Hectares,3030
2725,Castanha de caju,1,Norte,2014,2014,216,Área colhida,1006,Hectares,3030
2725,Castanha de caju,1,Norte,2014,2014,214,Quantidade produzida,1017,Toneladas,1663
2725,Castanha de caju,1,Norte,2014,2014,112,Rendimento médio da produção,33,Quilogramas por Hectare,549
2725,Castanha de caju,1,Norte,2014,2014,215,Valor da produção,40,Mil Reais,1824
2725,Castanha de caju,2,Nordeste,2014,2014,2313,Área destinada à colheita,1006,Hectares,634667
2725,Castanha de caju,2,Nordeste,2014,2014,216,Área colhida,1006,Hectares,623445
